s1	n_true	n_true_s2	n_true_s3	validation
S1-401372098	3	3	0	0
S1-951599976	2	2	0	0
S1-46716098	4	2	2	0
S1-465739288	3	1	2	0
S1-448345019	4	1	3	0
S1-543144015	3	3	0	0
S1-246225268	2	1	1	0
S1-908498505	6	4	2	0
S1-60980827	4	3	1	0
S1-960355473	5	2	3	0
S1-943567301	4	3	1	0
S1-908800416	4	2	2	0
S1-101122655	5	2	3	0
S1-668525331	2	1	1	0
S1-368890496	5	2	3	0
S1-315102620	5	2	3	0
S1-431830647	1	1	0	0
S1-509961458	3	2	1	1
S1-335846790	3	1	2	0
S1-641236003	4	2	2	0
S1-436640256	5	4	1	1
S1-942590387	5	3	2	0
S1-364282301	4	2	2	1
S1-524036030	2	0	2	0
S1-448733076	6	3	3	0
S1-748867572	5	3	2	1
S1-98197393	5	2	3	0
S1-47040385	2	1	1	0
S1-164081713	7	5	2	0
S1-491313845	7	4	3	0
S1-488702780	4	1	3	0
S1-680356898	1	0	1	0
S1-481363029	3	3	0	0
S1-24115094	3	2	1	0
S1-689977390	3	1	2	0
S1-477343565	3	1	2	0
S1-940949278	5	3	2	0
S1-551615800	7	3	4	1
S1-728270873	4	0	4	0
S1-405521342	4	3	1	1
S1-406214982	5	3	2	0
S1-27453021	7	3	4	1
S1-205432256	6	3	3	0
S1-373896077	4	2	2	0
S1-894634638	0	0	0	1
S1-415192963	3	1	2	0
S1-451119317	5	1	4	0
S1-160619866	3	1	2	0
S1-497997494	5	3	2	0
S1-622054204	5	3	2	0
S1-425029735	5	2	3	1
S1-396016027	2	1	1	0
S1-887453047	2	1	1	0
S1-714374058	3	1	2	0
S1-284409617	4	3	1	0
S1-362524142	4	1	3	0
S1-601839146	3	2	1	0
S1-868054757	4	2	2	0
S1-178294692	1	1	0	0
S1-373917752	0	0	0	0
S1-290109287	4	1	3	0
S1-954375720	3	2	1	1
S1-841236317	6	2	4	0
S1-47225325	2	1	1	0
S1-536126146	3	1	2	0
S1-393919545	3	2	1	0
S1-582046795	3	3	0	0
S1-987005689	2	1	1	0
S1-813298272	2	0	2	1
S1-702724995	2	0	2	0
S1-764129222	4	3	1	0
S1-311158779	2	2	0	0
S1-20728743	2	0	2	0
S1-505693918	4	2	2	0
S1-429900267	5	4	1	0
S1-53966414	5	1	4	0
S1-871785372	2	0	2	1
S1-738397946	2	1	1	0
S1-925840718	5	2	3	0
S1-359389192	3	2	1	0
S1-379654996	6	3	3	0
S1-270643653	5	4	1	0
S1-440383221	4	3	1	0
S1-958297307	4	2	2	0
S1-453165199	4	1	3	0
S1-79144137	5	3	2	0
S1-255452144	4	2	2	0
S1-423973106	1	1	0	1
S1-236909503	2	1	1	0
S1-227176635	1	1	0	1
S1-961613339	2	2	0	1
S1-25312162	3	1	2	0
S1-507357083	5	3	2	0
S1-317851611	2	1	1	1
S1-992143437	2	1	1	0
S1-527768007	4	1	3	1
S1-981925901	3	1	2	0
S1-631670392	3	1	2	0
S1-977292711	2	1	1	0
S1-839309172	4	2	2	0
S1-962341953	8	3	5	0
S1-739996933	2	1	1	0
S1-683081860	2	2	0	1
S1-853379544	3	1	2	0
S1-607312695	1	0	1	0
S1-645650011	6	4	2	0
S1-546165896	2	0	2	0
S1-282295416	6	3	3	1
S1-192464263	0	0	0	0
S1-53811749	3	2	1	0
S1-501127978	2	2	0	1
S1-509498169	2	1	1	0
S1-575642900	2	1	1	1
S1-360463908	4	2	2	0
S1-205806884	5	2	3	0
S1-864735768	5	3	2	0
S1-544920175	3	2	1	0
S1-104419363	4	2	2	1
S1-618560153	2	1	1	0
S1-277675102	2	1	1	0
S1-501961922	4	2	2	0
S1-371170359	6	2	4	0
S1-894940798	0	0	0	0
S1-557145214	5	0	5	0
S1-541652796	3	1	2	0
S1-392138809	4	2	2	0
S1-572646151	2	1	1	1
S1-80713863	3	0	3	1
S1-974350533	5	4	1	0
S1-845390095	3	1	2	0
S1-81687190	6	2	4	0
S1-238570410	3	2	1	0
S1-337397588	3	0	3	0
S1-451251131	3	1	2	0
S1-521458401	6	2	4	0
S1-983722158	4	1	3	0
S1-603550112	3	1	2	0
S1-566168384	0	0	0	1
S1-501005663	2	1	1	0
S1-636801095	2	1	1	0
S1-210935903	6	5	1	0
S1-634109947	4	3	1	0
S1-392618598	3	2	1	1
S1-193715603	4	0	4	0
S1-350243012	3	1	2	0
S1-361163422	5	2	3	1
S1-157967133	0	0	0	0
S1-398033319	4	2	2	0
S1-301092232	2	0	2	0
S1-178471187	2	0	2	1
S1-910526897	6	3	3	0
S1-355416319	0	0	0	0
S1-642059558	2	1	1	0
S1-287191559	1	1	0	0
S1-516366640	4	2	2	1
S1-833904625	6	3	3	0
S1-898352747	0	0	0	1
S1-425981032	6	4	2	0
S1-734851410	4	2	2	0
S1-431993897	2	1	1	1
S1-203284471	5	4	1	0
S1-404995167	4	3	1	1
S1-757666986	4	0	4	0
S1-9043366	4	2	2	0
S1-690849296	5	2	3	0
S1-381777317	4	1	3	1
S1-797321509	3	2	1	0
S1-587008296	2	1	1	0
S1-246037235	3	2	1	0
S1-726619436	1	0	1	0
S1-725289286	4	3	1	0
S1-573310096	7	3	4	0
S1-240637747	1	1	0	1
S1-300703873	6	5	1	0
S1-764734051	6	3	3	0
S1-865083717	4	2	2	0
S1-120775250	7	4	3	1
S1-334800733	3	1	2	0
S1-774249108	5	3	2	0
S1-84062269	6	2	4	0
S1-710263396	4	2	2	0
S1-87173790	4	2	2	1
S1-184477046	4	3	1	0
S1-37293427	3	2	1	0
S1-969284894	3	1	2	0
S1-81401734	6	1	5	0
S1-591768260	3	2	1	0
S1-291654549	2	1	1	1
S1-255672641	4	1	3	0
S1-955872641	4	1	3	1
S1-634246764	6	3	3	0
S1-379068159	6	3	3	0
S1-196860345	2	1	1	0
S1-282010599	5	4	1	1
S1-584164456	8	3	5	1
S1-571330233	3	1	2	0
S1-313435685	2	0	2	1
S1-590078836	4	1	3	0
S1-399632864	3	2	1	0
S1-399532884	6	4	2	1
S1-888777895	0	0	0	0
S1-4356385	2	2	0	1
S1-865421786	4	3	1	0
S1-380440613	3	2	1	0
S1-659596559	3	2	1	0
S1-52265317	7	4	3	0
S1-144062989	3	1	2	0
S1-595827937	4	2	2	1
S1-172760152	3	3	0	0
S1-937622335	5	1	4	1
S1-951335082	2	1	1	0
S1-364609105	4	2	2	0
S1-491641613	3	2	1	0
S1-261272738	2	0	2	0
S1-449165433	6	4	2	0
S1-292060826	3	2	1	0
S1-733382831	0	0	0	0
S1-158753049	6	4	2	1
S1-410541222	2	1	1	0
S1-246263835	2	2	0	0
S1-366310100	0	0	0	0
S1-595528482	4	1	3	0
S1-418819901	3	0	3	0
S1-292479299	0	0	0	0
S1-854477765	4	3	1	1
S1-578897745	3	2	1	0
S1-578353639	2	1	1	0
S1-870157197	3	2	1	0
S1-577018897	5	2	3	1
S1-880779015	2	1	1	0
S1-251242475	1	0	1	0
S1-470276087	2	1	1	0
S1-950663059	3	3	0	0
S1-902133764	0	0	0	0
S1-83310042	2	1	1	0
S1-565496391	1	1	0	1
S1-459231015	2	1	1	0
S1-424723765	3	2	1	0
S1-266071669	5	2	3	0
S1-545459666	5	3	2	0
S1-9568196	3	2	1	0
S1-159594439	3	2	1	0
S1-848624571	1	1	0	0
S1-205058699	1	1	0	0
S1-904317785	3	1	2	0
S1-394950136	5	2	3	0
S1-560839264	5	2	3	0
S1-723995292	4	3	1	0
S1-193005037	4	2	2	0
S1-268699253	3	1	2	1
S1-963830237	3	2	1	1
S1-909516549	3	1	2	1
S1-623903070	6	3	3	0
S1-258548037	4	1	3	1
S1-800605008	5	4	1	1
S1-389127964	4	1	3	0
S1-153676081	4	2	2	0
S1-58144122	6	4	2	0
S1-876252431	3	2	1	0
S1-515086445	6	3	3	0
S1-412062028	2	1	1	0
S1-26660244	5	2	3	1
S1-434151038	4	1	3	0
S1-968988291	3	3	0	0
S1-394980630	2	1	1	0
S1-845522274	6	2	4	0
S1-580379341	8	4	4	1
S1-890815658	1	0	1	0
S1-199080590	4	1	3	0
S1-311791900	3	2	1	0
S1-640323175	6	4	2	0
S1-916255139	5	1	4	1
S1-878261192	1	1	0	0
S1-534908249	1	0	1	0
S1-550008351	4	0	4	0
S1-61218128	2	1	1	1
S1-73540711	5	3	2	0
S1-72281536	2	1	1	0
S1-145369565	2	1	1	0
S1-701672831	2	1	1	0
S1-399162471	2	1	1	1
S1-325895334	3	0	3	0
S1-107765668	4	2	2	1
S1-903032207	3	1	2	1
S1-268425147	3	1	2	0
S1-59718103	3	1	2	0
S1-905862664	2	1	1	0
S1-889481140	3	2	1	0
S1-858582307	3	1	2	0
S1-415628732	3	1	2	0
S1-76935519	2	1	1	0
S1-266838880	3	2	1	0
S1-543512477	2	1	1	0
S1-447681107	2	1	1	0
S1-252968531	3	2	1	0
S1-192825479	3	2	1	0
S1-833471791	4	3	1	1
S1-83302850	5	3	2	0
S1-662124192	5	3	2	0
S1-60823411	7	3	4	0
S1-839772416	3	2	1	1
S1-780489364	3	1	2	0
S1-795625724	3	2	1	0
S1-141941354	2	2	0	0
S1-697239711	10	5	5	1
S1-73870191	5	4	1	0
S1-721598903	4	2	2	0
S1-749700652	4	3	1	0
S1-126420518	4	2	2	1
S1-998698573	0	0	0	0
S1-955100265	6	2	4	0
S1-398775817	3	1	2	0
S1-11115577	2	1	1	1
S1-406527539	1	1	0	1
S1-507543346	4	3	1	0
S1-870908432	3	2	1	0
S1-711813257	5	2	3	0
S1-781048233	3	2	1	0
S1-903099317	3	1	2	0
S1-496985148	5	2	3	0
S1-156551048	3	2	1	1
S1-140003755	1	1	0	0
S1-391171121	5	3	2	0
S1-831381976	7	4	3	0
S1-904229556	0	0	0	1
S1-97540739	8	3	5	1
S1-867672249	3	1	2	0
S1-503452250	6	4	2	0
S1-279706723	5	1	4	1
S1-967963015	3	1	2	0
S1-961476892	3	1	2	1
S1-750467676	4	2	2	0
S1-471409765	3	1	2	0
S1-626679057	7	2	5	0
S1-479555605	5	2	3	0
S1-635481769	4	1	3	0
S1-999366092	0	0	0	0
S1-913044245	4	3	1	0
S1-597272539	3	2	1	0
S1-363978929	3	2	1	0
S1-413915130	3	1	2	0
S1-323413520	6	3	3	1
S1-280723317	4	2	2	0
S1-509454942	3	1	2	0
S1-417625918	6	2	4	0
S1-901803397	2	0	2	1
S1-677635323	8	4	4	0
S1-144296491	3	2	1	0
S1-581200693	4	2	2	0
S1-699154812	4	1	3	0
S1-594414242	3	2	1	0
S1-40240595	5	1	4	0
S1-632639415	5	4	1	0
S1-679849621	3	1	2	0
S1-37707491	4	2	2	1
S1-517683305	5	2	3	0
S1-318739926	6	2	4	0
S1-102035734	1	1	0	0
S1-223424388	6	3	3	0
S1-241313809	2	1	1	0
S1-485100609	0	0	0	0
S1-306901692	2	1	1	0
S1-532862675	2	1	1	1
S1-211325040	3	1	2	0
S1-146316622	6	2	4	0
S1-780279562	3	2	1	0
S1-74183893	4	2	2	0
S1-282301369	6	4	2	0
S1-561927605	4	1	3	0
S1-140025924	2	1	1	0
S1-676836901	4	3	1	0
S1-747773639	3	2	1	0
S1-859722659	3	1	2	1
S1-329026161	4	1	3	0
S1-130188024	5	2	3	0
S1-251458621	2	1	1	0
S1-935481995	5	3	2	0
S1-818884314	7	5	2	0
S1-461042554	3	2	1	0
S1-925372506	5	2	3	0
S1-940169277	3	2	1	1
S1-108161581	2	1	1	0
S1-892825590	3	1	2	1
S1-926345296	3	1	2	0
S1-996078020	2	1	1	1
S1-661602242	4	1	3	0
S1-208417260	3	2	1	0
