time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T04:20:31,54,54,122
2026-09-25T04:20:33,151,151,219
2026-09-25T04:20:35,326,330,393
2026-09-25T04:20:37,465,465,532
2026-09-25T04:20:39,337,665,404
2026-09-25T04:20:41,514,665,813
2026-09-25T04:20:43,263,665,668
2026-09-25T04:20:46,394,665,799
2026-09-25T04:20:48,520,665,926
2026-09-25T04:20:50,653,665,1057
2026-09-25T04:20:52,776,776,1180
2026-09-25T04:20:54,1035,1035,1446
2026-09-25T04:20:56,2114,2146,2630
2026-09-25T04:20:58,2114,2146,2680
2026-09-25T04:21:00,2114,2146,2707
2026-09-25T04:21:02,2114,2146,2851
2026-09-25T04:21:04,285,2157,968
2026-09-25T04:21:06,300,2157,976
2026-09-25T04:21:08,291,2157,957
2026-09-25T04:21:10,391,2157,1066
2026-09-25T04:21:12,387,2157,1402
2026-09-25T04:21:14,387,2157,1490
2026-09-25T04:21:16,318,2157,1169
2026-09-25T04:21:18,390,2157,1241
2026-09-25T04:21:20,488,2157,1339
2026-09-25T04:21:22,572,2157,1424
2026-09-25T04:21:24,653,2157,1503
2026-09-25T04:21:26,729,2157,1580
2026-09-25T04:21:28,818,2157,1669
2026-09-25T04:21:30,899,2157,1752
2026-09-25T04:21:32,1435,2157,2291
2026-09-25T04:21:34,1953,2285,2805
2026-09-25T04:21:36,1953,2285,2806
2026-09-25T04:21:38,1953,2285,2806
2026-09-25T04:21:40,1953,2285,2806
2026-09-25T04:21:42,329,2285,1188
2026-09-25T04:21:44,350,2285,1209
2026-09-25T04:21:46,348,2285,1207
2026-09-25T04:21:48,349,2285,1208
2026-09-25T04:21:50,435,2285,1296
2026-09-25T04:21:52,446,2285,1497
2026-09-25T04:21:55,446,2285,1575
2026-09-25T04:21:57,577,2285,1441
2026-09-25T04:21:59,415,2285,1278
2026-09-25T04:22:01,399,2285,1263
2026-09-25T04:22:03,485,2285,1349
2026-09-25T04:22:05,585,2285,1450
2026-09-25T04:22:07,682,2285,1546
2026-09-25T04:22:09,783,2285,1648
2026-09-25T04:22:11,873,2285,1737
2026-09-25T04:22:13,953,2285,1818
2026-09-25T04:22:15,1094,2285,2008
2026-09-25T04:22:17,453,2285,1450
2026-09-25T04:22:19,535,2285,1579
2026-09-25T04:22:21,623,2285,1483
2026-09-25T04:22:23,726,2285,1591
2026-09-25T04:22:25,837,2285,1703
2026-09-25T04:22:27,957,2285,1823
2026-09-25T04:22:29,1031,2285,1895
2026-09-25T04:22:31,362,2285,1227
2026-09-25T04:22:33,472,2285,1338
2026-09-25T04:22:35,320,2285,1162
2026-09-25T04:22:37,438,2285,1279
2026-09-25T04:22:39,557,2285,1396
2026-09-25T04:22:41,681,2285,1522
2026-09-25T04:22:43,793,2285,1632
2026-09-25T04:22:45,919,2285,1759
2026-09-25T04:22:47,1283,2285,2129
2026-09-25T04:22:49,1283,2285,2137
2026-09-25T04:22:51,1283,2285,2147
2026-09-25T04:22:53,1283,2285,2158
2026-09-25T04:22:55,1283,2285,2176
2026-09-25T04:22:57,293,2285,1212
2026-09-25T04:22:59,310,2285,1228
2026-09-25T04:23:01,305,2285,1224
2026-09-25T04:23:04,336,2285,1255
2026-09-25T04:23:06,456,2285,1510
2026-09-25T04:23:08,449,2285,1553
2026-09-25T04:23:10,417,2285,1369
2026-09-25T04:23:12,299,2285,1225
2026-09-25T04:23:14,391,2285,1323
2026-09-25T04:23:16,500,2285,1426
2026-09-25T04:23:18,609,2285,1535
2026-09-25T04:23:20,725,2285,1651
2026-09-25T04:23:22,833,2285,1761
2026-09-25T04:23:24,948,2285,1875
2026-09-25T04:23:26,1317,2285,2247
2026-09-25T04:23:28,1317,2285,2247
2026-09-25T04:23:30,1317,2285,2248
2026-09-25T04:23:32,306,2285,1229
2026-09-25T04:23:34,340,2285,1244
2026-09-25T04:23:36,330,2285,1234
2026-09-25T04:23:38,380,2285,1284
2026-09-25T04:23:40,443,2285,1491
2026-09-25T04:23:42,443,2285,1584
2026-09-25T04:23:44,279,2285,1214
