time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T04:25:22,50,50,99
2026-09-25T04:25:24,146,146,194
2026-09-25T04:25:26,296,297,344
2026-09-25T04:25:28,427,428,475
2026-09-25T04:25:30,275,654,323
2026-09-25T04:25:32,379,654,427
2026-09-25T04:25:34,505,654,881
2026-09-25T04:25:36,324,654,710
2026-09-25T04:25:38,430,654,814
2026-09-25T04:25:40,550,654,933
2026-09-25T04:25:42,654,658,1038
2026-09-25T04:25:44,773,774,1157
2026-09-25T04:25:46,847,878,1232
2026-09-25T04:25:48,2128,2140,2595
2026-09-25T04:25:50,2128,2140,2665
2026-09-25T04:25:52,2128,2140,2692
2026-09-25T04:25:54,2128,2140,2719
2026-09-25T04:25:56,257,2171,912
2026-09-25T04:25:58,298,2171,953
2026-09-25T04:26:00,320,2171,975
2026-09-25T04:26:02,334,2171,989
2026-09-25T04:26:04,442,2171,1220
2026-09-25T04:26:06,418,2171,1441
2026-09-25T04:26:08,418,2171,1519
2026-09-25T04:26:10,323,2171,1152
2026-09-25T04:26:13,398,2171,1227
2026-09-25T04:26:15,495,2171,1325
2026-09-25T04:26:17,586,2171,1416
2026-09-25T04:26:19,664,2171,1494
2026-09-25T04:26:21,758,2171,1683
2026-09-25T04:26:23,857,2171,1687
2026-09-25T04:26:25,951,2171,1781
2026-09-25T04:26:27,1919,2293,2753
2026-09-25T04:26:29,1919,2293,2752
2026-09-25T04:26:31,1919,2293,2752
2026-09-25T04:26:33,1755,2293,2503
2026-09-25T04:26:35,367,2293,1207
2026-09-25T04:26:37,385,2293,1226
2026-09-25T04:26:39,497,2293,1410
2026-09-25T04:26:41,469,2293,1549
2026-09-25T04:26:43,589,2293,1436
2026-09-25T04:26:45,427,2293,1273
2026-09-25T04:26:47,408,2293,1254
2026-09-25T04:26:49,526,2293,1372
2026-09-25T04:26:51,632,2293,1486
2026-09-25T04:26:53,741,2293,1592
2026-09-25T04:26:55,857,2293,1704
2026-09-25T04:26:57,962,2293,1809
2026-09-25T04:26:59,1323,2293,2169
2026-09-25T04:27:01,492,2293,1339
2026-09-25T04:27:03,605,2293,1451
2026-09-25T04:27:05,723,2293,1569
2026-09-25T04:27:07,835,2293,1681
2026-09-25T04:27:09,950,2293,1797
2026-09-25T04:27:11,1035,2293,1881
2026-09-25T04:27:13,375,2293,1221
2026-09-25T04:27:15,495,2293,1341
2026-09-25T04:27:17,336,2293,1152
2026-09-25T04:27:19,449,2293,1265
2026-09-25T04:27:22,563,2293,1379
2026-09-25T04:27:24,672,2293,1488
2026-09-25T04:27:26,795,2293,1611
2026-09-25T04:27:28,908,2293,1720
2026-09-25T04:27:30,1279,2293,2105
2026-09-25T04:27:32,1279,2293,2118
2026-09-25T04:27:34,1279,2293,2134
2026-09-25T04:27:36,1279,2293,2156
2026-09-25T04:27:38,336,2293,1240
2026-09-25T04:27:40,343,2293,1247
2026-09-25T04:27:42,471,2293,1375
2026-09-25T04:27:44,468,2293,1538
2026-09-25T04:27:46,444,2293,1459
2026-09-25T04:27:48,340,2293,1251
2026-09-25T04:27:50,442,2293,1352
2026-09-25T04:27:52,548,2293,1455
2026-09-25T04:27:54,657,2293,1568
2026-09-25T04:27:56,776,2293,1686
2026-09-25T04:27:58,877,2293,1786
2026-09-25T04:28:00,1314,2293,2223
2026-09-25T04:28:02,1326,2293,2239
2026-09-25T04:28:04,1326,2293,2239
2026-09-25T04:28:06,1326,2293,2240
2026-09-25T04:28:08,323,2293,1231
2026-09-25T04:28:10,348,2293,1256
2026-09-25T04:28:12,376,2293,1284
2026-09-25T04:28:14,459,2293,1500
2026-09-25T04:28:16,459,2293,1597
2026-09-25T04:28:18,292,2293,1235
