time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T06:50:26,53,53,53
2026-09-25T06:50:28,159,159,160
2026-09-25T06:50:30,349,350,349
2026-09-25T06:50:32,481,499,481
2026-09-25T06:50:34,361,659,361
2026-09-25T06:50:36,509,659,835
2026-09-25T06:50:38,332,659,672
2026-09-25T06:50:40,469,659,807
2026-09-25T06:50:42,607,659,944
2026-09-25T06:50:44,744,745,1082
2026-09-25T06:50:46,884,884,1223
2026-09-25T06:50:48,2135,2147,2604
2026-09-25T06:50:50,2135,2147,2638
2026-09-25T06:50:52,2135,2147,2674
2026-09-25T06:50:54,268,2178,877
2026-09-25T06:50:56,315,2178,924
2026-09-25T06:50:58,406,2178,1017
2026-09-25T06:51:00,424,2178,1396
2026-09-25T06:51:02,395,2178,1251
2026-09-25T06:51:04,419,2178,1199
2026-09-25T06:51:06,551,2178,1332
2026-09-25T06:51:08,676,2178,1452
2026-09-25T06:51:10,805,2178,1581
2026-09-25T06:51:12,937,2178,1717
2026-09-25T06:51:14,2275,2307,3064
2026-09-25T06:51:16,2275,2307,3060
2026-09-25T06:51:18,2275,2307,3060
2026-09-25T06:51:21,352,2317,1137
2026-09-25T06:51:23,388,2317,1180
2026-09-25T06:51:25,474,2317,1266
2026-09-25T06:51:27,472,2317,1501
2026-09-25T06:51:29,599,2317,1396
2026-09-25T06:51:31,471,2317,1268
2026-09-25T06:51:33,475,2317,1272
2026-09-25T06:51:35,600,2317,1396
2026-09-25T06:51:37,731,2317,1529
2026-09-25T06:51:39,860,2317,1652
2026-09-25T06:51:41,987,2317,1783
2026-09-25T06:51:43,663,2317,1460
2026-09-25T06:51:45,565,2317,1361
2026-09-25T06:51:47,696,2317,1492
2026-09-25T06:51:49,812,2317,1613
2026-09-25T06:51:51,945,2317,1743
2026-09-25T06:51:53,1038,2317,1834
2026-09-25T06:51:55,359,2317,1155
2026-09-25T06:51:57,495,2317,1291
2026-09-25T06:51:59,349,2317,1117
2026-09-25T06:52:01,473,2317,1242
2026-09-25T06:52:03,596,2317,1364
2026-09-25T06:52:05,720,2317,1488
2026-09-25T06:52:07,842,2317,1610
2026-09-25T06:52:09,1264,2317,2032
2026-09-25T06:52:11,1280,2317,2064
2026-09-25T06:52:13,1280,2317,2081
2026-09-25T06:52:15,1291,2317,2132
2026-09-25T06:52:17,336,2317,1185
2026-09-25T06:52:19,335,2317,1184
2026-09-25T06:52:21,468,2317,1448
2026-09-25T06:52:23,468,2317,1556
2026-09-25T06:52:25,330,2317,1187
2026-09-25T06:52:27,445,2317,1304
2026-09-25T06:52:29,584,2317,1442
2026-09-25T06:52:31,713,2317,1571
2026-09-25T06:52:33,846,2317,1703
2026-09-25T06:52:36,1215,2317,2121
2026-09-25T06:52:38,1330,2317,2189
2026-09-25T06:52:40,1330,2317,2189
2026-09-25T06:52:42,1330,2317,2174
2026-09-25T06:52:44,354,2317,1205
2026-09-25T06:52:46,377,2317,1224
2026-09-25T06:52:48,475,2317,1449
2026-09-25T06:52:50,475,2317,1557
2026-09-25T06:52:52,296,2317,1220
