time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T04:49:44,36,36,37
2026-09-25T04:49:46,129,129,129
2026-09-25T04:49:48,283,287,285
2026-09-25T04:49:50,433,434,433
2026-09-25T04:49:52,296,653,296
2026-09-25T04:49:55,507,653,650
2026-09-25T04:49:57,506,653,842
2026-09-25T04:49:59,363,653,708
2026-09-25T04:50:01,490,653,837
2026-09-25T04:50:03,625,653,970
2026-09-25T04:50:05,751,753,1096
2026-09-25T04:50:07,888,888,1220
2026-09-25T04:50:09,2119,2121,2464
2026-09-25T04:50:11,2313,2330,2658
2026-09-25T04:50:13,2089,2363,2793
2026-09-25T04:50:15,2089,2363,2869
2026-09-25T04:50:17,2089,2363,2918
2026-09-25T04:50:19,2089,2363,2984
2026-09-25T04:50:21,2181,2363,3291
2026-09-25T04:50:23,2188,2363,3290
2026-09-25T04:50:25,2188,2363,3290
2026-09-25T04:50:27,2188,2363,3293
2026-09-25T04:50:29,2286,2363,3421
2026-09-25T04:50:31,2284,2363,3418
2026-09-25T04:50:33,2284,2363,3418
2026-09-25T04:50:35,2304,2363,3438
2026-09-25T04:50:37,2383,2402,3511
2026-09-25T04:50:39,2383,2402,3511
2026-09-25T04:50:41,2383,2402,3512
2026-09-25T04:50:43,2419,2435,3539
2026-09-25T04:50:45,2480,2493,3642
2026-09-25T04:50:47,2480,2493,3719
2026-09-25T04:50:49,2480,2493,3760
2026-09-25T04:50:51,2532,2547,3651
2026-09-25T04:50:53,2577,2593,3714
2026-09-25T04:50:55,2577,2593,3714
2026-09-25T04:50:57,2599,2608,3739
2026-09-25T04:51:00,2669,2675,3774
2026-09-25T04:51:02,2675,2690,3806
2026-09-25T04:51:04,2675,2690,3808
2026-09-25T04:51:06,2697,2706,3831
2026-09-25T04:51:08,2773,2788,3905
2026-09-25T04:51:10,2773,2788,3904
2026-09-25T04:51:12,2773,2788,3904
2026-09-25T04:51:14,2810,2825,3933
2026-09-25T04:51:16,2870,2886,4004
2026-09-25T04:51:18,2870,2886,4005
2026-09-25T04:51:20,2870,2886,3987
2026-09-25T04:51:22,2923,2938,4030
2026-09-25T04:51:24,2968,2983,4104
2026-09-25T04:51:26,2968,2983,4104
2026-09-25T04:51:28,2990,2999,4111
2026-09-25T04:51:30,3066,3081,4205
2026-09-25T04:51:32,3066,3081,4203
2026-09-25T04:51:34,3066,3081,4204
2026-09-25T04:51:36,3118,3133,4256
2026-09-25T04:51:38,3163,3179,4303
2026-09-25T04:51:40,3163,3179,4303
2026-09-25T04:51:42,3185,3194,4324
2026-09-25T04:51:44,3246,3261,4375
2026-09-25T04:51:46,3261,3277,4399
2026-09-25T04:51:48,3261,3277,4399
2026-09-25T04:51:50,3298,3314,4448
2026-09-25T04:51:52,3359,3374,4498
2026-09-25T04:51:54,3359,3374,4497
2026-09-25T04:51:56,3381,3389,4522
2026-09-25T04:51:58,3424,3441,4569
2026-09-25T04:52:00,3456,3472,4596
2026-09-25T04:52:02,3456,3472,4597
2026-09-25T04:52:05,3490,3508,4629
2026-09-25T04:52:07,3552,3568,4694
2026-09-25T04:52:09,3552,3568,4694
2026-09-25T04:52:11,3552,3568,4685
2026-09-25T04:52:13,3623,3628,4752
2026-09-25T04:52:15,3635,3651,4772
2026-09-25T04:52:17,3635,3651,4773
2026-09-25T04:52:19,3687,3704,4811
2026-09-25T04:52:21,2754,3718,3883
2026-09-25T04:52:23,3062,3718,4184
2026-09-25T04:52:25,3221,3718,4343
