time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T06:06:42,52,52,53
2026-09-25T06:06:44,162,162,162
2026-09-25T06:06:46,350,354,352
2026-09-25T06:06:48,626,633,627
2026-09-25T06:06:50,369,660,370
2026-09-25T06:06:52,525,660,834
2026-09-25T06:06:54,525,660,879
2026-09-25T06:06:56,525,660,900
2026-09-25T06:06:58,322,660,734
2026-09-25T06:07:00,451,660,863
2026-09-25T06:07:02,587,660,998
2026-09-25T06:07:04,715,715,1127
2026-09-25T06:07:06,843,847,1255
2026-09-25T06:07:08,1362,1362,1773
2026-09-25T06:07:10,2239,2252,2651
2026-09-25T06:07:12,2146,2420,2737
2026-09-25T06:07:14,2146,2420,2935
2026-09-25T06:07:16,2146,2420,3001
2026-09-25T06:07:18,2146,2420,3073
2026-09-25T06:07:20,2242,2420,3342
2026-09-25T06:07:22,2242,2420,3342
2026-09-25T06:07:24,2242,2420,3343
2026-09-25T06:07:26,2280,2420,3369
2026-09-25T06:07:28,2340,2420,3471
2026-09-25T06:07:31,2340,2420,3471
2026-09-25T06:07:33,2362,2420,3496
2026-09-25T06:07:35,2438,2453,3567
2026-09-25T06:07:37,2438,2453,3565
2026-09-25T06:07:39,2438,2453,3566
2026-09-25T06:07:41,2520,2533,3635
2026-09-25T06:07:43,2535,2551,3666
2026-09-25T06:07:45,2535,2551,3667
2026-09-25T06:07:47,2573,2588,3708
2026-09-25T06:07:49,2634,2648,3768
2026-09-25T06:07:51,2634,2648,3769
2026-09-25T06:07:53,2634,2648,3759
2026-09-25T06:07:55,2730,2746,3865
2026-09-25T06:07:57,2730,2746,3863
2026-09-25T06:07:59,2730,2746,3863
2026-09-25T06:08:01,2768,2784,3901
2026-09-25T06:08:03,2828,2843,3962
2026-09-25T06:08:05,2828,2843,3962
2026-09-25T06:08:07,2850,2859,3977
2026-09-25T06:08:09,2925,2942,4062
2026-09-25T06:08:11,2925,2942,4062
2026-09-25T06:08:13,2925,2942,4063
2026-09-25T06:08:15,2978,2994,4082
2026-09-25T06:08:17,3023,3039,4158
2026-09-25T06:08:19,3023,3039,4158
2026-09-25T06:08:21,3061,3076,4197
2026-09-25T06:08:23,3121,3136,4260
2026-09-25T06:08:25,3121,3136,4260
2026-09-25T06:08:27,3148,3152,4269
2026-09-25T06:08:29,3219,3234,4356
2026-09-25T06:08:31,3219,3234,4357
2026-09-25T06:08:34,3219,3234,4357
2026-09-25T06:08:36,3301,3317,4429
2026-09-25T06:08:38,3316,3332,4458
2026-09-25T06:08:40,3316,3332,4458
2026-09-25T06:08:42,3368,3383,4508
2026-09-25T06:08:44,3414,3430,4552
2026-09-25T06:08:46,3414,3430,4552
2026-09-25T06:08:48,3451,3466,4588
2026-09-25T06:08:50,3511,3527,4650
2026-09-25T06:08:52,3511,3527,4650
2026-09-25T06:08:54,3536,3542,4672
2026-09-25T06:08:56,3605,3623,4745
2026-09-25T06:08:58,3607,3623,4750
2026-09-25T06:09:00,3607,3623,4750
2026-09-25T06:09:02,3653,3668,4820
2026-09-25T06:09:04,3690,3706,4825
2026-09-25T06:09:06,3690,3706,4825
2026-09-25T06:09:08,3762,3773,4875
2026-09-25T06:09:10,3024,3773,4142
2026-09-25T06:09:12,2742,3773,3860
2026-09-25T06:09:14,3380,3773,4499
2026-09-25T06:09:16,3390,3773,4508
2026-09-25T06:09:18,3394,3773,4512
2026-09-25T06:09:20,3404,3773,4522
2026-09-25T06:09:22,3406,3773,4525
2026-09-25T06:09:24,3408,3773,4526
2026-09-25T06:09:26,3410,3773,4528
2026-09-25T06:09:28,2944,3773,4068
2026-09-25T06:09:30,3342,3773,4461
2026-09-25T06:09:32,3360,3773,4478
2026-09-25T06:09:34,3369,3773,4487
2026-09-25T06:09:36,3377,3773,4495
2026-09-25T06:09:38,3399,3773,4518
2026-09-25T06:09:40,2546,3773,3665
2026-09-25T06:09:42,2698,3773,3817
2026-09-25T06:09:44,2845,3773,3963
2026-09-25T06:09:46,2906,3773,4025
2026-09-25T06:09:48,2967,3773,4085
2026-09-25T06:09:50,3025,3773,4143
2026-09-25T06:09:53,3088,3773,4206
2026-09-25T06:09:55,3751,3773,4869
2026-09-25T06:09:57,2874,3792,3993
2026-09-25T06:09:59,3926,3926,5046
2026-09-25T06:10:01,2865,4004,3984
2026-09-25T06:10:03,2935,4004,4053
2026-09-25T06:10:05,3006,4004,4124
2026-09-25T06:10:07,3075,4004,4194
2026-09-25T06:10:09,3147,4004,4265
2026-09-25T06:10:11,3217,4004,4335
2026-09-25T06:10:13,3286,4004,4404
2026-09-25T06:10:15,4304,4304,5425
2026-09-25T06:10:17,3508,4615,4556
2026-09-25T06:10:19,3133,4615,4251
2026-09-25T06:10:21,3205,4615,4324
2026-09-25T06:10:23,3278,4615,4396
