time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T05:47:57,37,37,36
2026-09-25T05:47:59,128,128,128
2026-09-25T05:48:01,283,286,283
2026-09-25T05:48:03,433,434,433
2026-09-25T05:48:05,315,661,315
2026-09-25T05:48:07,509,661,632
2026-09-25T05:48:09,509,661,868
2026-09-25T05:48:11,369,661,711
2026-09-25T05:48:13,499,661,844
2026-09-25T05:48:15,628,661,969
2026-09-25T05:48:17,758,758,1105
2026-09-25T05:48:19,885,886,1232
2026-09-25T05:48:21,2124,2128,2469
2026-09-25T05:48:23,2156,2362,2470
2026-09-25T05:48:25,2088,2362,2807
2026-09-25T05:48:27,2088,2362,2887
2026-09-25T05:48:29,2088,2362,2968
2026-09-25T05:48:31,2167,2362,3282
2026-09-25T05:48:34,2187,2362,3290
2026-09-25T05:48:36,2187,2362,3290
2026-09-25T05:48:38,2208,2362,3327
2026-09-25T05:48:40,2283,2362,3414
2026-09-25T05:48:42,2283,2362,3414
2026-09-25T05:48:44,2283,2362,3435
2026-09-25T05:48:46,2366,2382,3500
2026-09-25T05:48:48,2381,2397,3508
2026-09-25T05:48:50,2381,2397,3509
2026-09-25T05:48:52,2403,2412,3532
2026-09-25T05:48:54,2479,2492,3610
2026-09-25T05:48:56,2479,2492,3610
2026-09-25T05:48:58,2479,2492,3612
2026-09-25T05:49:00,2516,2531,3635
2026-09-25T05:49:02,2576,2589,3713
2026-09-25T05:49:04,2576,2589,3713
2026-09-25T05:49:06,2599,2607,3736
2026-09-25T05:49:08,2674,2687,3813
2026-09-25T05:49:10,2674,2687,3811
2026-09-25T05:49:12,2674,2687,3812
2026-09-25T05:49:14,2710,2726,3851
2026-09-25T05:49:16,2771,2789,3905
2026-09-25T05:49:18,2771,2789,3905
2026-09-25T05:49:20,2794,2802,3928
2026-09-25T05:49:22,2849,2854,3941
2026-09-25T05:49:24,2869,2882,4006
2026-09-25T05:49:26,2869,2882,4006
2026-09-25T05:49:28,2891,2900,4030
2026-09-25T05:49:30,2967,2980,4107
2026-09-25T05:49:32,2967,2980,4106
2026-09-25T05:49:34,2989,2997,4128
2026-09-25T05:49:37,3019,3035,4160
2026-09-25T05:49:39,3065,3080,4205
2026-09-25T05:49:41,3065,3080,4206
2026-09-25T05:49:43,3087,3095,4228
2026-09-25T05:49:45,3145,3162,4272
2026-09-25T05:49:47,3162,3178,4302
2026-09-25T05:49:49,3184,3193,4324
2026-09-25T05:49:51,3200,3215,4330
2026-09-25T05:49:53,3260,3273,4398
2026-09-25T05:49:55,3260,3273,4398
2026-09-25T05:49:57,3281,3290,4419
2026-09-25T05:49:59,3327,3343,4466
2026-09-25T05:50:01,3358,3373,4495
2026-09-25T05:50:03,3380,3388,4518
2026-09-25T05:50:05,3380,3388,4507
