time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T06:25:05,51,51,52
2026-09-25T06:25:07,138,138,138
2026-09-25T06:25:09,298,300,300
2026-09-25T06:25:11,456,458,458
2026-09-25T06:25:13,348,661,348
2026-09-25T06:25:15,532,661,746
2026-09-25T06:25:17,528,661,877
2026-09-25T06:25:19,528,661,897
2026-09-25T06:25:21,279,661,692
2026-09-25T06:25:23,445,661,858
2026-09-25T06:25:25,591,661,1005
2026-09-25T06:25:27,733,733,1145
2026-09-25T06:25:29,878,880,1290
2026-09-25T06:25:31,1896,1896,2308
2026-09-25T06:25:33,2310,2313,2745
2026-09-25T06:25:35,2151,2425,2903
2026-09-25T06:25:37,2151,2425,2977
2026-09-25T06:25:39,2151,2425,3051
2026-09-25T06:25:41,2203,2425,3326
2026-09-25T06:25:43,2249,2425,3353
2026-09-25T06:25:46,2249,2425,3353
2026-09-25T06:25:48,2300,2425,3403
2026-09-25T06:25:50,2346,2425,3482
2026-09-25T06:25:52,2346,2425,3482
2026-09-25T06:25:54,2383,2425,3497
2026-09-25T06:25:56,2444,2459,3567
2026-09-25T06:25:58,2444,2459,3567
2026-09-25T06:26:00,2466,2474,3584
2026-09-25T06:26:02,2541,2557,3671
2026-09-25T06:26:04,2541,2557,3672
2026-09-25T06:26:06,2563,2572,3698
2026-09-25T06:26:08,2639,2655,3772
2026-09-25T06:26:10,2639,2655,3772
2026-09-25T06:26:12,2661,2670,3795
2026-09-25T06:26:14,2737,2752,3869
2026-09-25T06:26:16,2737,2752,3869
2026-09-25T06:26:18,2759,2767,3893
2026-09-25T06:26:20,2834,2851,3971
2026-09-25T06:26:22,2834,2851,3970
2026-09-25T06:26:24,2856,2865,3993
2026-09-25T06:26:26,2932,2947,4066
2026-09-25T06:26:28,2932,2947,4065
2026-09-25T06:26:30,2954,2962,4087
2026-09-25T06:26:32,3030,3045,4165
2026-09-25T06:26:34,3030,3045,4164
2026-09-25T06:26:36,3052,3060,4188
2026-09-25T06:26:38,3125,3143,4262
2026-09-25T06:26:40,3127,3143,4264
2026-09-25T06:26:42,3149,3158,4286
2026-09-25T06:26:44,3192,3210,4315
