time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T05:18:57,59,59,63
2026-09-25T05:18:59,139,139,140
2026-09-25T05:19:01,436,586,439
2026-09-25T05:19:03,520,635,520
2026-09-25T05:19:06,511,635,559
2026-09-25T05:19:08,596,635,596
2026-09-25T05:19:10,525,635,529
2026-09-25T05:19:12,731,842,734
2026-09-25T05:19:14,732,842,732
2026-09-25T05:19:16,573,842,573
2026-09-25T05:19:18,517,842,517
2026-09-25T05:19:20,538,842,532
2026-09-25T05:19:22,492,842,491
2026-09-25T05:19:24,513,842,514
2026-09-25T05:19:26,418,842,418
