time,main_ws_mb,main_peak_ws_mb,all_python_ws_mb
2026-09-25T05:19:29,53,53,54
2026-09-25T05:19:31,156,156,156
2026-09-25T05:19:33,334,336,334
2026-09-25T05:19:35,483,484,483
2026-09-25T05:19:37,340,654,340
2026-09-25T05:19:39,502,654,793
2026-09-25T05:19:41,502,654,845
2026-09-25T05:19:43,296,654,666
2026-09-25T05:19:45,451,654,816
2026-09-25T05:19:47,586,654,954
2026-09-25T05:19:49,718,718,1088
2026-09-25T05:19:51,845,847,1216
2026-09-25T05:19:53,1783,1783,2158
2026-09-25T05:19:55,2247,2260,2616
2026-09-25T05:19:57,2120,2393,2743
2026-09-25T05:19:59,2120,2393,2880
2026-09-25T05:20:01,2120,2393,2957
2026-09-25T05:20:03,2120,2393,3034
2026-09-25T05:20:05,2217,2393,3317
2026-09-25T05:20:07,2217,2393,3316
2026-09-25T05:20:09,2217,2393,3317
2026-09-25T05:20:11,2269,2393,3384
2026-09-25T05:20:13,2315,2393,3448
2026-09-25T05:20:15,2315,2393,3448
2026-09-25T05:20:17,2337,2393,3454
2026-09-25T05:20:19,2412,2428,3543
2026-09-25T05:20:22,2412,2428,3544
2026-09-25T05:20:24,2412,2428,3545
2026-09-25T05:20:26,2465,2480,3640
2026-09-25T05:20:28,2510,2526,3641
2026-09-25T05:20:30,2510,2526,3641
2026-09-25T05:20:32,2510,2526,3643
2026-09-25T05:20:34,2607,2623,3742
2026-09-25T05:20:36,2607,2623,3740
2026-09-25T05:20:38,2607,2623,3741
2026-09-25T05:20:40,2630,2638,3788
2026-09-25T05:20:42,2705,2721,3837
2026-09-25T05:20:44,2705,2721,3837
2026-09-25T05:20:46,2705,2721,3837
2026-09-25T05:20:48,2742,2758,3864
2026-09-25T05:20:50,2803,2818,3935
2026-09-25T05:20:52,2803,2818,3935
2026-09-25T05:20:54,2803,2818,3936
2026-09-25T05:20:56,2855,2871,3956
2026-09-25T05:20:58,2901,2916,4036
2026-09-25T05:21:00,2901,2916,4036
2026-09-25T05:21:02,2923,2932,4044
2026-09-25T05:21:04,2983,2999,4105
2026-09-25T05:21:06,2998,3013,4134
2026-09-25T05:21:08,2998,3013,4134
2026-09-25T05:21:10,3035,3051,4173
2026-09-25T05:21:12,3096,3111,4235
2026-09-25T05:21:14,3096,3111,4235
2026-09-25T05:21:16,3096,3111,4236
2026-09-25T05:21:18,3147,3163,4285
2026-09-25T05:21:20,3194,3208,4328
2026-09-25T05:21:23,3194,3208,4328
2026-09-25T05:21:25,3194,3208,4328
2026-09-25T05:21:27,3247,3261,4386
2026-09-25T05:21:29,3291,3307,4428
2026-09-25T05:21:31,3291,3307,4427
2026-09-25T05:21:33,3291,3307,4428
2026-09-25T05:21:35,3328,3344,4466
2026-09-25T05:21:37,3389,3404,4528
2026-09-25T05:21:39,3389,3404,4528
2026-09-25T05:21:41,3389,3404,4528
