source1_entity_id	matched_entity_ids
S1-100025870	S3-412634944
S1-100065295	S2-331023513,S2-462359231,S3-316370026,S3-693200381
S1-10011474	S2-129994750,S2-523475473,S3-918737934
S1-100359162	S2-211448553,S2-329574267,S2-621611489,S3-868511494
S1-100365402	S3-177658990
S1-100588770	S2-729896632,S2-933424030,S3-288460706
S1-100714457	S3-700832669
S1-100754671	
S1-100847576	S2-408438701,S3-342041525
S1-101058536	S3-425221736
S1-101072332	S3-349001003
S1-101316565	S2-410920100,S2-55714139,S2-582709274,S2-80792153,S3-277931100,S3-459631291
S1-101448409	S2-542905400,S2-67998014,S3-472373649,S3-647552810,S3-942185043
S1-10158520	S2-184710943,S2-707312848,S2-834041361,S3-671897327,S3-786605411,S3-906539939
S1-101729673	S2-560042657,S3-918766309
S1-101753962	S2-328582076,S2-703871506
S1-101762377	
S1-101780735	S3-543027586
S1-1020047	S2-536323122,S2-935224899,S3-25998532
S1-10223300	S2-808501149,S3-169161116
S1-102262280	
S1-102298344	S2-377829136,S3-158817841,S3-224788145
S1-102335151	S2-177666971,S2-964447821,S3-525550161,S3-574358757
S1-102606099	S2-350480448,S3-601469517
S1-102685544	S2-535173460,S3-283826495,S3-843825727
S1-102695101	S2-602157284,S2-847983646,S3-184006551
S1-102849087	S2-265786347,S3-794505906
S1-102892758	S2-370248366,S2-597340970,S3-53200521
S1-103236883	S2-117948579,S2-239532997,S2-741641560,S3-22118661,S3-653693610,S3-853610077
S1-103277119	S3-462479740,S3-610970108
S1-103365600	S2-167306471,S3-505206879
S1-103585627	S2-157998772,S2-608016327,S2-855904490,S3-716116212
S1-103678658	S2-453535650,S3-285930693,S3-468283890
S1-103680715	S2-105732118
S1-103956183	
S1-104349825	S2-14597521,S2-856789940,S3-75428037,S3-756401760
S1-104375468	S2-631632907,S2-765696980,S2-929423625,S3-624420450,S3-659010091
S1-104847486	
S1-104944714	S2-387851444,S3-617493858
S1-104944987	S2-695186971
S1-105018882	S2-849408896
S1-105146534	S3-12031053
S1-105276633	S2-174357582,S3-315160014,S3-455402296
S1-10549703	S2-394376797,S2-755284522,S3-141493854,S3-335762295,S3-359316607,S3-420490174
S1-105511554	S2-799947039,S3-822231346
S1-105584288	S2-739419170,S3-266506075,S3-903531312
S1-105589182	S2-831955863,S3-356959624
S1-105759746	S3-502017985,S3-987049197
S1-105824444	S2-235892873,S2-323943940,S2-460068046,S2-748233212
S1-105846993	S2-758143185,S2-848220563,S3-244648068
S1-105921678	S2-439360938,S2-834409196,S3-733795738,S3-885469437
S1-105943575	S2-602412743,S3-423101008,S3-819067425
S1-106314983	S2-257711989,S2-751174475,S3-727564860
S1-106450926	S3-343839438,S3-877100310
S1-106492486	
S1-106559561	S2-212702023,S3-586864589,S3-813059362
S1-106564131	S2-101406613,S2-160543316,S3-223313642,S3-444527745,S3-697266856,S3-84272043,S3-861865574
S1-106710560	S2-333000457,S3-403303084,S3-613215697
S1-106834408	S2-718847457,S2-894396508
S1-107062317	
S1-107066025	S2-250230870,S2-561693470,S2-868852728
S1-10725788	S3-612830532,S3-657239466
S1-107296667	S2-158694816,S2-771379814,S2-983379341,S3-310967004,S3-39554913,S3-656145404
S1-10732467	S2-435517177,S2-959305796,S3-153523634,S3-345261869
S1-107395649	S2-330434055,S2-790814116,S3-477462198,S3-950562490
S1-107403618	S2-179867859,S2-756871553,S2-856235850,S2-953815705,S3-339912636,S3-767635666,S3-845244540
S1-107487792	S2-146893659,S2-408266010
S1-107504462	S2-835549787,S3-146466531,S3-268650216
S1-107543122	S2-20115294,S2-627927901,S2-691244428,S3-684162500
S1-107546415	S2-135871345,S2-702457683
S1-10759041	S3-30648782,S3-482301070
S1-107939413	S2-439497265,S2-502831114,S3-994326469
S1-107956825	S2-286688820,S2-49059829,S2-827879663,S2-852707109,S3-389823654,S3-448984997,S3-615293959
S1-10802286	S2-190163962,S2-42078860,S2-439059133,S2-947156719,S3-35273010,S3-455820655,S3-624125246
S1-108051728	S2-802280605,S3-226297553,S3-980629960
S1-108113823	S2-490188215,S3-915936452
S1-108219904	S2-122270481,S2-147752977,S3-209373733,S3-411249841,S3-885106733
S1-108724009	S2-627306263,S3-775055871
S1-108826426	S2-159068403,S2-462371003,S2-982627938,S3-295632516
S1-108844771	S2-147626762,S2-148364285,S2-543548525,S3-302336924,S3-400375127
S1-108874063	S2-345654753,S2-411979603,S3-966135739
S1-108951056	S2-770684289,S3-182578318
S1-108993620	S3-155463727,S3-18511430,S3-50482461,S3-610875519
S1-10914674	S2-804637443,S2-855826614
S1-109240534	S2-657134215,S3-22550090
S1-109329222	S2-561149020,S3-513472816,S3-748534463
S1-109396190	S2-498322747,S2-842970431,S3-486283136,S3-791205322,S3-990886801,S3-998513627
S1-109609629	S2-42679287,S2-488420693,S3-345275945,S3-614508219
S1-109829298	S2-350908110,S2-908343413,S3-574630498
S1-109972435	S3-392064218
S1-11002639	S2-399085240,S3-266342266,S3-684271489,S3-700536758,S3-728446255
S1-11005970	S2-477469747,S3-437614771
S1-110070329	S2-397389697,S2-617928085,S3-76664218
S1-110168395	S2-521284649,S2-773222715,S3-123671931,S3-318591447
S1-110537101	S2-710115974,S3-812798285,S3-834652670
S1-110554366	S3-256359360,S3-364371747
S1-111301895	S2-526813944,S2-798534171,S3-413585286,S3-464940768
S1-111359110	S3-241125124
S1-111408484	S2-999517894
S1-111518726	S3-69892054,S3-759537250,S3-897385133
S1-111531844	S2-907353368,S3-261190236,S3-734403172,S3-986777918
S1-111595533	S2-133144467,S2-218861407,S2-334951887,S3-104280997
S1-111639826	S2-832002263,S3-265464266,S3-513800962
S1-11165238	S2-263396544,S2-420950551,S2-99008538,S3-524525305
S1-111717403	S2-761412786,S2-822680735,S3-484503102,S3-937170096
S1-111812609	S2-747509092,S3-236277610,S3-491183438
S1-111863403	S2-439126558,S2-860682326,S3-451646919,S3-665613691
S1-111926481	S2-936675374,S3-568349066
S1-112068695	S2-194141302
S1-112169621	S2-471342235,S2-805589500,S3-744448799,S3-787288999
S1-112237927	S2-853954695,S3-402572281,S3-592968334,S3-614796897
S1-112304371	S2-201836269
S1-112321404	S2-137550822,S2-432338211
S1-112335452	S2-829336054,S3-14116987
S1-112401100	S2-371365,S2-46855755,S2-580399772,S3-157839412,S3-773683856,S3-799191118
S1-112443858	S2-319001798,S2-355811024,S2-687779325,S3-283291096,S3-426815613
S1-112487986	S2-187037868
S1-112535683	S2-700997999,S3-789498562,S3-987264026
S1-112543029	S2-229224278,S2-636446284
S1-112643002	S2-184204346,S3-186305716,S3-309348772,S3-395143727,S3-565468100
S1-112766316	S2-533265049,S3-471534352,S3-504218777
S1-112870680	S2-411449458,S3-745624751,S3-932737218
S1-112895757	
S1-112940627	S2-138586112,S2-269906016,S3-155268573,S3-474800583,S3-918854438,S3-952672848
S1-112970319	S2-164537673,S2-306250924,S2-540923136,S2-593694123,S3-788477331
S1-113186269	S2-219955908,S2-962459708,S3-112165062,S3-928020735
S1-113216069	S2-751757491
S1-113231915	S2-533806605,S3-388195631
S1-113519762	S2-700281509,S2-815027556,S3-872133340
S1-113530444	S2-258494605,S2-824733423,S3-26536348,S3-517088577,S3-58667901
S1-113604619	S2-634948118,S3-155876754,S3-785710484,S3-900020015
S1-113625332	S2-268698540,S2-289923051,S2-910410642,S3-52568700
S1-11373593	
S1-113759988	S2-485727372,S3-681305383
S1-114029820	S3-252790085
S1-114173010	S2-993178447,S3-367403922,S3-491355721
S1-114282739	S3-696989707,S3-948996569
S1-114344758	S2-260944929,S2-292785870,S2-844892818,S3-10995836,S3-766279714,S3-974252861
S1-114371872	S2-156242907,S2-820763343,S3-275259102
S1-114853332	S2-16426141,S2-497019385,S2-893195783,S3-395087016,S3-416325464
S1-115056586	S2-497328005,S3-145921238,S3-718569090
S1-115084216	S2-317187439,S2-631037341,S3-371141525,S3-659151394
S1-11508869	S2-157331046,S3-503269648,S3-516563031
S1-115099184	S2-850319793,S3-730808734
S1-11510001	S3-446043486,S3-618003271
S1-115189395	S2-88211819,S3-101583503,S3-424451196,S3-54662612,S3-95424347
S1-115316041	S2-23103913,S2-505190815
S1-115374501	S2-4290716,S2-597113960,S2-612306503,S2-807229803,S3-737231207
S1-11539585	S3-331628762,S3-355026947,S3-8915838
S1-11563528	S2-827606257,S3-427814345,S3-561831110
S1-115636283	S2-76976916
S1-115854912	S2-200246023,S2-410537182,S3-189521913,S3-762776331,S3-854670162
S1-115877649	S2-544216650,S2-773655767,S3-548978484,S3-601677904
S1-115941407	S2-389958073
S1-116082725	S2-18318606,S2-275814734,S2-540739327,S2-614222605,S3-424672513,S3-887914297
S1-116337103	S2-193709284,S2-746508965,S2-86506613,S3-36338449,S3-626142175,S3-654757116,S3-937032440
S1-116363195	S2-415599597,S2-605497958,S3-507959782,S3-892381780
S1-1165275	S2-48454097,S2-731570846,S3-210168060,S3-406814373
S1-116667426	S2-263472565,S3-107318179,S3-824921341
S1-116710717	
S1-11672436	S2-540476105,S2-870735397,S3-212455239,S3-26287322,S3-375507580
S1-116757562	S2-504665620,S2-717360085,S3-170443831,S3-461756873
S1-116776059	S3-319978778,S3-385199997
S1-116826274	S2-446660609,S3-528692706,S3-900160396
S1-116872763	S2-624675974,S3-334994783
S1-116929240	S2-431464812,S2-628256803,S3-253798379,S3-788181840
S1-116973608	S2-385030263,S3-688605054,S3-983343967
S1-117079272	S2-545742236,S3-118320038,S3-724511943
S1-117176169	S2-876429841,S3-382846827,S3-66682591,S3-719268671
S1-11741317	S2-23243966,S2-30008365,S2-372946989,S2-610322501,S3-827700674
S1-117434283	S2-585781010,S2-94612858,S3-562854698
S1-117456026	S2-683937689,S3-67593418
S1-117548545	S2-481080784,S3-103863573,S3-372776155
S1-117550084	S2-203814312,S2-917163347,S3-374221357,S3-589261996,S3-75458281
S1-11769851	S2-180258111,S2-274597585,S2-630434714,S2-821043272,S3-132944559
S1-117842225	S3-231852967,S3-251269927,S3-960260108
S1-117949827	S2-284374659,S2-689128018,S2-967267210
S1-118144180	S2-132861814,S2-229651499,S2-421992766,S2-481800300,S3-879016721
S1-118378550	S2-245648670,S2-988165552,S3-139937915,S3-915075213
S1-118381873	S2-553327342,S2-68122140,S3-186296087,S3-379986837
S1-11840976	S2-332229078,S3-103710283
S1-118431355	S2-17756390,S3-359993530
S1-118477314	S2-987962635,S3-408585017,S3-462395734
S1-118501471	S2-655147563,S2-743692915,S2-911765441,S3-742107586
S1-118520966	S2-318803252,S2-50814084,S2-76709677,S3-441747880,S3-665334298
S1-118656639	S2-578088035,S3-598190042,S3-608196207,S3-849795082
S1-118724664	S2-690507242,S3-277862077,S3-979855330
S1-118804450	S2-289722112,S2-427664204,S2-59003005,S2-964633791,S3-245901202,S3-36043930,S3-538067537
S1-118861861	S2-644254344,S3-504352181,S3-686895101
