source1_entity_id	candidate_entity_ids
S1-100025870	S2-100816311,S2-104935859,S2-106953007,S2-10770144,S2-124512818,S2-128525264,S2-128938318,S2-131472318,S2-143405792,S2-150301315,S2-151887210,S2-163514205,S2-178267070,S2-202591556,S2-211089448,S2-212145217,S2-212193741,S2-21873277,S2-228652050,S2-237092675,S2-249596669,S2-250333056,S2-25671971,S2-270548141,S2-294856571,S2-298833866,S2-299781509,S2-310280000,S2-314738884,S2-315146105,S2-316583727,S2-318056465,S2-34725684,S2-365257587,S2-366593296,S2-377907209,S2-383801995,S2-385694919,S2-403572422,S2-421567220,S2-421580906,S2-422005608,S2-422030591,S2-426852339,S2-42982076,S2-432868269,S2-44850636,S2-458791593,S2-477516379,S2-480167781,S2-507778524,S2-521879721,S2-522914889,S2-526357748,S2-526890020,S2-532049994,S2-549513061,S2-582843403,S2-586611589,S2-586982901,S2-594016838,S2-599107807,S2-613413223,S2-649078048,S2-670657479,S2-670922460,S2-687587267,S2-734240017,S2-742091279,S2-743055168,S2-749105081,S2-759759864,S2-766918345,S2-76958031,S2-780939395,S2-809720179,S2-813707903,S2-825585357,S2-847975288,S2-851191490,S2-853665836,S2-856814260,S2-879143865,S2-898950576,S2-908490624,S2-914915405,S2-922168549,S2-924505531,S2-924794572,S2-934599403,S2-935907144,S2-949357692,S2-952880526,S2-955022495,S2-963705217,S2-964377302,S2-971424034,S2-972983302,S2-991778217,S2-996547961,S3-105454448,S3-107629122,S3-124552124,S3-12614344,S3-126915164,S3-130145409,S3-144391349,S3-150025725,S3-151425081,S3-160822795,S3-171394242,S3-199859844,S3-203886170,S3-208293354,S3-227870174,S3-23959365,S3-24408394,S3-244661009,S3-264511155,S3-276231846,S3-279659553,S3-284408708,S3-290767224,S3-300318821,S3-306118213,S3-307664871,S3-332986258,S3-334005201,S3-346826302,S3-373506055,S3-373716183,S3-399510802,S3-40327126,S3-403816241,S3-412419208,S3-412634944,S3-414053040,S3-414922842,S3-42899897,S3-435143043,S3-437429642,S3-455185220,S3-46490555,S3-467969141,S3-486237414,S3-497155790,S3-512519747,S3-531214618,S3-536754718,S3-550555397,S3-551926015,S3-55235193,S3-567331760,S3-577980118,S3-578921167,S3-581328338,S3-582581240,S3-588537877,S3-590770821,S3-603904657,S3-628553988,S3-634434240,S3-639985573,S3-643548350,S3-653929381,S3-6640153,S3-665910733,S3-667923280,S3-67552264,S3-680603189,S3-697398869,S3-725174459,S3-726877416,S3-727559648,S3-735873688,S3-738012648,S3-764802051,S3-768636760,S3-775807943,S3-783209125,S3-79326375,S3-814565231,S3-824340469,S3-831710969,S3-840991982,S3-84468631,S3-871467573,S3-889609746,S3-907429660,S3-925661280,S3-930576436,S3-933531869,S3-935642938,S3-949591960,S3-952095208,S3-952291873,S3-969004139,S3-970757874,S3-985124166,S3-986826148
S1-100065295	S2-102128204,S2-106591888,S2-106900084,S2-108772216,S2-114186214,S2-119650389,S2-133668836,S2-138758966,S2-149150685,S2-154536995,S2-161665616,S2-167421203,S2-176348660,S2-193535840,S2-194626246,S2-197871763,S2-210381850,S2-211622315,S2-225321751,S2-236773456,S2-260167197,S2-264709584,S2-302738352,S2-321685865,S2-322914602,S2-331023513,S2-333968088,S2-359169247,S2-390158551,S2-410262356,S2-462359231,S2-472032698,S2-472963511,S2-474313225,S2-476063903,S2-48111953,S2-481231535,S2-499322031,S2-501026987,S2-509148470,S2-513435555,S2-542485625,S2-563360069,S2-567163358,S2-580428642,S2-586882293,S2-613438807,S2-634934460,S2-658410864,S2-675598764,S2-696084452,S2-700629579,S2-721699149,S2-740246392,S2-760642781,S2-76200125,S2-79148047,S2-805960309,S2-824161121,S2-829189404,S2-829657848,S2-869153798,S2-876523172,S2-878227778,S2-882281422,S2-883508990,S2-891489380,S2-908034674,S2-914939140,S2-932161053,S2-940978436,S2-942607881,S2-995125159,S3-106660459,S3-136223522,S3-1453033,S3-148285498,S3-153563027,S3-156305702,S3-156574642,S3-159102293,S3-176831142,S3-202487581,S3-223177460,S3-233103342,S3-233922976,S3-238236199,S3-242858629,S3-248315791,S3-264649751,S3-288366631,S3-2956336,S3-299820602,S3-301524745,S3-306434634,S3-307341844,S3-308157977,S3-316370026,S3-32197991,S3-328274367,S3-332291917,S3-337185605,S3-344444669,S3-346991459,S3-353603651,S3-357086678,S3-37021850,S3-404246174,S3-405763050,S3-416352243,S3-43329690,S3-453963955,S3-454388504,S3-461026887,S3-461535334,S3-477549732,S3-490930187,S3-497443446,S3-50606864,S3-534553482,S3-534866888,S3-555974154,S3-559988844,S3-56764983,S3-585193666,S3-595573127,S3-603060216,S3-603211913,S3-603636002,S3-64996328,S3-650575897,S3-653821986,S3-654243325,S3-655837352,S3-660946798,S3-672590,S3-681926745,S3-693200381,S3-70126672,S3-714529288,S3-730519349,S3-740286425,S3-754640514,S3-754894665,S3-756718764,S3-761146763,S3-761434994,S3-766627481,S3-781121691,S3-787220321,S3-804364398,S3-8172465,S3-82134624,S3-837398187,S3-837498544,S3-841369409,S3-856160729,S3-856411638,S3-857099402,S3-863125487,S3-883252604,S3-883927752,S3-908265130,S3-920403348,S3-926568171,S3-928642614,S3-930388294,S3-931109499,S3-944318664,S3-965742422,S3-978329411,S3-985116624,S3-991816244
S1-10011474	S2-129994750,S2-336365827,S2-378261824,S2-523475473,S2-868012222,S3-918737934
S1-100359162	S2-123309495,S2-128700436,S2-151154899,S2-167547082,S2-211448553,S2-222624794,S2-233193383,S2-242472050,S2-253678935,S2-270093229,S2-271320793,S2-284180168,S2-289431680,S2-329574267,S2-33089373,S2-337556593,S2-338817934,S2-341102512,S2-349705975,S2-39598902,S2-396419237,S2-413004662,S2-414285181,S2-415495437,S2-423497804,S2-435175529,S2-439021373,S2-443486450,S2-450439425,S2-472292686,S2-490617853,S2-490958816,S2-513975671,S2-518974914,S2-520356822,S2-555034198,S2-568569084,S2-571559890,S2-580989983,S2-588697043,S2-621611489,S2-631348127,S2-644356263,S2-66667759,S2-677872149,S2-678211120,S2-692187392,S2-699995282,S2-713284979,S2-749748206,S2-751741053,S2-768940560,S2-770473634,S2-779672647,S2-788706682,S2-788803322,S2-800462401,S2-869596543,S2-87218572,S2-891149049,S2-898659357,S2-902464310,S2-917689601,S2-93108552,S2-938792754,S2-969880566,S2-976816631,S2-997662908,S3-106160143,S3-138831567,S3-139935076,S3-152986308,S3-158803474,S3-17551155,S3-190714379,S3-20535689,S3-209028024,S3-210837942,S3-224654447,S3-259587674,S3-271736928,S3-313875325,S3-316899755,S3-324583419,S3-342406224,S3-343757303,S3-354609548,S3-392410798,S3-403780046,S3-422319713,S3-425078665,S3-432457607,S3-433941167,S3-445144118,S3-445466489,S3-452435564,S3-459415718,S3-46193924,S3-468658597,S3-473710029,S3-486528967,S3-508637595,S3-513487550,S3-517692685,S3-544712929,S3-56078029,S3-562101492,S3-567913497,S3-571256988,S3-585405862,S3-593205329,S3-619117818,S3-625009648,S3-63048417,S3-667034753,S3-681531090,S3-721800708,S3-724090763,S3-729191559,S3-731223063,S3-761667789,S3-762750948,S3-770049781,S3-783028537,S3-816307510,S3-82414816,S3-832961580,S3-852763009,S3-868511494,S3-876539830,S3-896738427,S3-915812843,S3-918718392,S3-934089812,S3-938051146,S3-948927271,S3-961265813,S3-969220069,S3-994464574
S1-100365402	S2-162131468,S2-205919970,S2-210096803,S2-241313605,S2-282924494,S2-287559375,S2-298947812,S2-33459553,S2-411491169,S2-416594984,S2-438020443,S2-455814758,S2-478387152,S2-505429710,S2-50590034,S2-546363953,S2-559411742,S2-611943577,S2-614879703,S2-638855087,S2-647154402,S2-657492252,S2-680510113,S2-705219091,S2-714818159,S2-719019571,S2-782696382,S2-80601805,S2-808501811,S2-825053171,S2-845646474,S2-869483470,S2-884812935,S2-911959270,S2-934974596,S2-956393581,S2-984060803,S2-98982358,S3-11412000,S3-143241498,S3-144884579,S3-148100763,S3-151253960,S3-157586596,S3-17301817,S3-177658990,S3-191104062,S3-201085101,S3-21933290,S3-221201719,S3-226939643,S3-253420347,S3-284221722,S3-284878859,S3-322863895,S3-391958441,S3-413292783,S3-418999488,S3-448615836,S3-478590390,S3-516519479,S3-517795188,S3-518037833,S3-614371284,S3-621456865,S3-662876845,S3-670488345,S3-728845547,S3-752965544,S3-771743747,S3-783819633,S3-807160075,S3-899779081,S3-903778457,S3-90509862,S3-906506775,S3-917284830,S3-95893311,S3-964199424
S1-100588770	S2-106136467,S2-108546151,S2-108811956,S2-120153934,S2-125595044,S2-137539034,S2-142842018,S2-144995290,S2-164343275,S2-167060085,S2-185083824,S2-233933028,S2-236549012,S2-237837297,S2-265971418,S2-274343817,S2-291823861,S2-293232943,S2-327895941,S2-329140387,S2-340725177,S2-345255582,S2-347846547,S2-365973823,S2-392013271,S2-394622455,S2-395983374,S2-396174318,S2-399772742,S2-409221056,S2-426373711,S2-428276178,S2-441565689,S2-459557619,S2-480237865,S2-49343118,S2-494616094,S2-495656101,S2-500069359,S2-51206562,S2-51673702,S2-519720562,S2-522096189,S2-532257442,S2-536706299,S2-548468786,S2-548981414,S2-551415952,S2-56210115,S2-567069074,S2-571893510,S2-572607735,S2-57366951,S2-586773336,S2-594994465,S2-599089024,S2-608965917,S2-61594974,S2-635255267,S2-639144799,S2-645744809,S2-650730673,S2-651782306,S2-656679002,S2-664010493,S2-671465045,S2-674529763,S2-687754601,S2-68990657,S2-697539163,S2-709333627,S2-718539907,S2-726421852,S2-729896632,S2-740342005,S2-745065590,S2-773416751,S2-781771977,S2-786486053,S2-786995857,S2-793284837,S2-798801937,S2-805539483,S2-807317138,S2-817340983,S2-822267550,S2-829109582,S2-831984033,S2-833794359,S2-841846257,S2-857569902,S2-880065557,S2-908898437,S2-92071655,S2-925782499,S2-933424030,S2-965630007,S2-966556483,S2-991193602,S2-99302214,S3-101147134,S3-105972916,S3-121960487,S3-143442477,S3-154367950,S3-162464140,S3-210025567,S3-232188733,S3-234523810,S3-234754922,S3-23727002,S3-240200266,S3-252955786,S3-253980921,S3-257910318,S3-263901914,S3-268120437,S3-288460706,S3-289950508,S3-302576875,S3-306018102,S3-310061778,S3-314822971,S3-316316080,S3-319948093,S3-320478304,S3-334166728,S3-334744289,S3-340275938,S3-373774298,S3-377777092,S3-392905524,S3-395227697,S3-396633109,S3-4023870,S3-407077546,S3-418021643,S3-443631853,S3-445656673,S3-449945976,S3-461295987,S3-469311834,S3-482081895,S3-493033442,S3-501477499,S3-508264974,S3-530797810,S3-540168290,S3-550964560,S3-564493467,S3-574176536,S3-574565666,S3-582828422,S3-586596239,S3-592864840,S3-595136716,S3-59557005,S3-599021530,S3-603141634,S3-607146418,S3-642230676,S3-649185047,S3-652024917,S3-65892460,S3-664610536,S3-673858672,S3-689762592,S3-701483372,S3-703107310,S3-713097247,S3-722995433,S3-729878539,S3-746438952,S3-756065243,S3-802341520,S3-839107110,S3-84107689,S3-842750053,S3-856680427,S3-857950829,S3-862250116,S3-874997576,S3-884517369,S3-885990912,S3-889924656,S3-895831701,S3-90099091,S3-902037875,S3-907978687,S3-915352608,S3-917227900,S3-919635046,S3-93460072,S3-93779174,S3-953784559,S3-956378423,S3-962931495,S3-986322720,S3-988063648,S3-992910799
S1-100714457	S2-110188698,S2-116011682,S2-119139148,S2-119911802,S2-130354387,S2-131331000,S2-143021293,S2-146365072,S2-149017359,S2-159688288,S2-163778192,S2-176421069,S2-187143917,S2-196572957,S2-205719861,S2-206027549,S2-207494053,S2-207940962,S2-209080297,S2-209087441,S2-224032436,S2-229184728,S2-230038291,S2-233785286,S2-251846198,S2-290421883,S2-292347477,S2-314368779,S2-319331816,S2-323290141,S2-35005185,S2-365580716,S2-390763085,S2-392478950,S2-397853668,S2-40105418,S2-417059200,S2-417251179,S2-43020146,S2-434662731,S2-445198909,S2-474395253,S2-478264109,S2-480685501,S2-497793521,S2-500549421,S2-510060514,S2-511338793,S2-546967103,S2-56940736,S2-570605960,S2-640046475,S2-653329648,S2-662488004,S2-663644490,S2-682630839,S2-685151855,S2-690193600,S2-693067528,S2-702796968,S2-715917057,S2-732299703,S2-734265012,S2-736965520,S2-763240591,S2-780811203,S2-783208414,S2-785835541,S2-840371277,S2-847399269,S2-854901880,S2-867701514,S2-868869830,S2-877747446,S2-891031357,S2-934092961,S2-938467303,S2-949981543,S2-964377766,S2-972542153,S2-973995073,S2-994847961,S3-107278876,S3-108403800,S3-109821347,S3-112589089,S3-13971989,S3-155493300,S3-171870604,S3-177716356,S3-219946424,S3-222010392,S3-228803608,S3-235178624,S3-24021487,S3-244487827,S3-259557782,S3-2752619,S3-278981300,S3-282512109,S3-295396127,S3-304491459,S3-305778813,S3-319496414,S3-322256361,S3-325660201,S3-333484173,S3-344288723,S3-350173363,S3-358602923,S3-365050865,S3-369050206,S3-390945063,S3-404434286,S3-405161598,S3-40647259,S3-410006101,S3-437708099,S3-440870048,S3-457201923,S3-460403989,S3-460569905,S3-485716714,S3-503458787,S3-515389728,S3-551805188,S3-560024097,S3-610056132,S3-613743234,S3-620417394,S3-621348250,S3-634696877,S3-637269274,S3-640015657,S3-648402962,S3-662857875,S3-672244675,S3-680563346,S3-698149191,S3-700832669,S3-732269779,S3-74137245,S3-759866447,S3-769583449,S3-788590416,S3-792212165,S3-822905327,S3-833945556,S3-83965238,S3-848498363,S3-878642677,S3-885455959,S3-889465142,S3-945511262,S3-990319333,S3-99832091,S3-999880934
S1-100754671	S2-11921998,S2-132258055,S2-139799657,S2-163552058,S2-167205673,S2-184519105,S2-19219388,S2-197735373,S2-200610278,S2-201754368,S2-206534757,S2-212933786,S2-243765233,S2-255056721,S2-26985321,S2-296116924,S2-301715716,S2-312323368,S2-312766236,S2-318245362,S2-321912980,S2-334417194,S2-336958416,S2-343635559,S2-3556773,S2-358312425,S2-369772758,S2-373647527,S2-377514239,S2-38286637,S2-385034173,S2-385561714,S2-389394269,S2-39119043,S2-393286882,S2-394977645,S2-414248207,S2-428506727,S2-449138882,S2-450265958,S2-453888797,S2-497506343,S2-512194745,S2-513839142,S2-521988047,S2-525349772,S2-539268658,S2-543193532,S2-55222310,S2-563873238,S2-575762873,S2-577983913,S2-585167871,S2-59848803,S2-604034176,S2-608317309,S2-620110486,S2-627201634,S2-627271745,S2-643163733,S2-65615391,S2-665105700,S2-672603247,S2-679705485,S2-683749574,S2-684924900,S2-684976893,S2-714110970,S2-728092313,S2-739840128,S2-747759011,S2-769118338,S2-775926203,S2-776245231,S2-801058875,S2-812218666,S2-815343204,S2-821328306,S2-824071570,S2-82759437,S2-843877660,S2-869522743,S2-872092709,S2-877277504,S2-879717788,S2-883284162,S2-884723050,S2-902127207,S2-906721620,S2-917160381,S2-918426716,S2-929966416,S2-939442001,S2-943143476,S2-950549386,S2-951153048,S2-989227971,S2-996976532,S3-105138484,S3-114048870,S3-143183608,S3-162786359,S3-167407963,S3-173826861,S3-182069464,S3-194373126,S3-225097990,S3-260664757,S3-262195161,S3-264277195,S3-285830400,S3-289583505,S3-297771739,S3-302495038,S3-321043037,S3-331177661,S3-339294631,S3-346163443,S3-34760026,S3-355265365,S3-36018037,S3-367949732,S3-377980601,S3-394116778,S3-396313296,S3-418413863,S3-422699046,S3-423254812,S3-428845316,S3-452724063,S3-466897347,S3-468554252,S3-472026395,S3-480251598,S3-489188401,S3-496226072,S3-498300806,S3-501246173,S3-507166791,S3-518992351,S3-526904076,S3-55397408,S3-554052412,S3-562811957,S3-565114142,S3-574658485,S3-580614506,S3-584239534,S3-592053575,S3-593242860,S3-599277239,S3-601956386,S3-6170474,S3-621049445,S3-635826207,S3-645532784,S3-653163727,S3-658396699,S3-670019187,S3-679671255,S3-68085554,S3-686495286,S3-688150369,S3-698768882,S3-708868066,S3-722760296,S3-723351540,S3-768295005,S3-774165080,S3-778108108,S3-784984426,S3-805596348,S3-806390266,S3-851516047,S3-855684978,S3-868898296,S3-871682746,S3-883399074,S3-883854936,S3-899457540,S3-910648464,S3-928912345,S3-938940441,S3-944871473,S3-947140422,S3-964295168,S3-965710331,S3-966318901,S3-975022661,S3-980293695,S3-99685151,S3-997406454
S1-100847576	S2-133575976,S2-149768979,S2-178279455,S2-200396118,S2-221513196,S2-27560877,S2-31044701,S2-335701009,S2-340226192,S2-355586498,S2-372083835,S2-376666422,S2-400166357,S2-405851757,S2-408438701,S2-443530723,S2-445653870,S2-480401977,S2-48551624,S2-503582947,S2-533189109,S2-570936969,S2-599956324,S2-619843152,S2-624715572,S2-695230205,S2-702363078,S2-710343650,S2-71515124,S2-728843243,S2-729268190,S2-74812502,S2-775981652,S2-798485125,S2-799901120,S2-823114182,S2-823948207,S2-829733962,S2-83162552,S2-833011908,S2-858879419,S2-896442299,S2-89973096,S2-930867842,S2-936082854,S2-998250391,S3-136189793,S3-142592487,S3-16342697,S3-182060295,S3-185025747,S3-187366389,S3-233119147,S3-244436316,S3-262384705,S3-324789259,S3-342041525,S3-361225739,S3-366787832,S3-387716556,S3-398078163,S3-427445485,S3-440011328,S3-487814924,S3-50515187,S3-542257783,S3-587352225,S3-628373693,S3-630542271,S3-633562324,S3-648865137,S3-658560848,S3-671124639,S3-671537991,S3-674401018,S3-6749367,S3-714975136,S3-748438330,S3-759932029,S3-772677110,S3-772887013,S3-78508740,S3-799089351,S3-819760643,S3-854928465,S3-85572330,S3-872489718,S3-878728414,S3-922011156,S3-925501608,S3-933425787,S3-94644658,S3-959867805,S3-9742394,S3-980223471
S1-101058536	S2-120953450,S2-162081574,S2-185413310,S2-185982343,S2-20965757,S2-214788892,S2-215323584,S2-245061546,S2-245235948,S2-250275258,S2-290104822,S2-313200096,S2-339203732,S2-365385434,S2-365607461,S2-39072139,S2-397942993,S2-424835873,S2-4412355,S2-442544333,S2-44371760,S2-443830893,S2-457150391,S2-464761380,S2-495045715,S2-49955024,S2-509041388,S2-515609843,S2-547988207,S2-572292040,S2-575776341,S2-587989666,S2-592334221,S2-600130563,S2-610049683,S2-618297797,S2-632319331,S2-633170174,S2-65304844,S2-653723382,S2-656321723,S2-66290881,S2-666636063,S2-679099494,S2-700235006,S2-714054648,S2-718502934,S2-743466341,S2-753187866,S2-757769737,S2-768950304,S2-777690525,S2-813239783,S2-821516042,S2-821640812,S2-843827343,S2-85634165,S2-869249817,S2-879459600,S2-881406688,S2-889969532,S2-891410324,S2-929489917,S2-930831522,S2-935747428,S2-940530866,S2-949380148,S2-978772741,S2-994903938,S3-105920524,S3-107937798,S3-137210455,S3-143302197,S3-189677360,S3-194324937,S3-20860743,S3-215673744,S3-231050757,S3-259739443,S3-269651457,S3-271847872,S3-311129512,S3-335566039,S3-360259930,S3-365925884,S3-375085478,S3-383811959,S3-389559029,S3-407709639,S3-409484025,S3-425221736,S3-442630738,S3-459683024,S3-462905037,S3-474130055,S3-499618228,S3-512011340,S3-518852810,S3-542571335,S3-544871711,S3-552221669,S3-558444821,S3-564117172,S3-605888505,S3-607816639,S3-609777169,S3-623431576,S3-63050849,S3-650027334,S3-651883861,S3-652737098,S3-653248209,S3-65923891,S3-666980328,S3-671789259,S3-672115260,S3-676829590,S3-678852511,S3-687337869,S3-730390668,S3-731424526,S3-757968748,S3-773964418,S3-817898825,S3-820269060,S3-820311855,S3-843968680,S3-856874647,S3-896340183,S3-898126903,S3-903662097,S3-905443576,S3-920181655,S3-927144544,S3-944100422,S3-972480589,S3-974023928,S3-981790090
