source1_entity_id	matched_entity_ids
S1-106307602	S2-559719590,S2-928217474,S3-721394838
S1-109450074	S2-590754336,S3-805634465
S1-109666175	S3-918679344
S1-113946951	S2-743654809,S3-270274320,S3-865998876
S1-12240557	S2-262548013,S3-454073329
S1-128350097	S2-121897499,S2-522197637,S3-541751359
S1-136933096	S3-417307748,S3-83826747
S1-138351920	S2-128273531,S2-537264428,S2-807475812,S3-569863137,S3-820323500,S3-965010941
S1-139619805	S2-61253037,S2-800233585,S3-103564473,S3-320100714
S1-141941354	S2-307833066,S2-611603209,S2-74007998
S1-144748187	
S1-145490067	S2-386430024,S2-542369725,S3-230421305
S1-149898575	S2-219498817,S3-933183664
S1-153485613	S2-339963457,S2-392610613,S2-459338571
S1-158753049	S2-350396364,S2-604264016,S2-787565878,S2-988324866,S3-460996033,S3-620804920
S1-159871837	S3-334539664
S1-160393706	S2-869711874,S3-528894740
S1-163249957	S2-31859358,S3-317047386,S3-404613688,S3-869674570
S1-164236538	S2-372227455,S3-12262859,S3-288089967
S1-169612171	
S1-171226928	S2-518443780,S2-632375397,S2-92946079,S3-30327252,S3-564493388,S3-983818106
S1-174146241	S2-311455014,S2-937892947,S3-531792619
S1-185502834	S2-337275476,S2-446557062,S3-545244572
S1-193618187	S2-932603757,S3-942460482
S1-195659370	S2-68815643,S3-262859400,S3-509992700,S3-774824867,S3-980478653
S1-195839862	S2-232134153,S2-344984473
S1-195880082	S2-419854416,S2-455340020,S3-449317669,S3-620297324
S1-196124805	S2-485936525,S2-862601602,S3-528767013
S1-198675986	S2-215620421,S2-337672180,S3-358091796,S3-971948820
S1-202359521	S2-796056399,S3-14054909,S3-147711174
S1-202442008	S2-533448274,S2-80056537,S3-659080786,S3-832983780
S1-207329319	S2-938952817,S3-358187913
S1-208682389	S2-13335367,S2-824336574,S2-98296923,S3-401976049
S1-209008446	S2-37848567,S2-464453661,S3-353524462
S1-210935903	S2-154679414,S2-388023430,S2-657153982,S2-704632322,S2-842875529
S1-213733425	S2-536341305
S1-214884127	S2-714063931
S1-215012656	
S1-226577000	S2-120256320,S2-96377146,S3-286366713,S3-435104966,S3-471406258,S3-50414644,S3-703747401
S1-229036658	S2-250168979,S2-852127544,S2-953857311,S3-340140608,S3-400410906
S1-236909503	S2-614955104,S3-234441977
S1-237349399	S3-727677120,S3-752350413
S1-247284513	S2-185907762,S2-213354246,S3-748392598
S1-251910741	
S1-253227957	S2-801647785,S3-335967923,S3-635356810
S1-258608264	S2-147351634,S3-227155621,S3-99318454
S1-274659648	S3-173727206,S3-211856633,S3-2537869
S1-281569207	S2-158818962,S2-461693500,S2-781447259,S3-416342971,S3-975921478
S1-284516393	S2-101145583,S2-17380666,S2-249455107,S2-266197882,S3-213234540,S3-710903268
S1-291654549	S2-454835742,S3-90360043
S1-292684571	S2-627958031,S2-76303055
S1-294321565	S2-229819698,S3-805614339,S3-837548855
S1-296237987	S2-116503479,S2-153307795,S2-641484158,S3-739124653
S1-296275047	S3-775937311
S1-307581912	S2-805252835,S3-8720081,S3-901277278
S1-310630315	S2-904402020,S3-117131502,S3-243473927,S3-916379142
S1-312677351	S2-211807217,S2-408994894,S2-463523896,S3-420917708
S1-313448121	S3-461845328,S3-830195342
S1-320151505	S2-230628758,S2-951553277,S3-975397820
S1-328828277	S2-350086796,S2-571164874,S3-304478476,S3-761215046
S1-33537044	S2-439782541,S2-703571182,S3-96795992
S1-344152319	S2-25350937,S3-613342865,S3-952342593
S1-35908111	S2-392006261,S3-272846089,S3-76647500,S3-809113811
S1-361859792	S2-573726039,S2-810585553,S3-45324372,S3-938952505
S1-367291716	S3-135476577
S1-373635517	S3-947694541
S1-377912796	S2-174749893,S2-924309076,S3-107968680,S3-315645133,S3-404913044
S1-388065298	
S1-401153469	S2-152010346,S2-2400848,S2-836028736
S1-402965427	S2-648404217,S3-54093255,S3-559980580,S3-687498930
S1-40508795	S2-303541169,S2-694672248,S3-761871191,S3-999788629
S1-425693286	S3-242418215
S1-426702569	S2-185128751,S2-367489307,S2-985193882
S1-434719296	S2-701891242,S3-636927809
S1-441023683	S2-433819177,S2-800718657,S3-46713055,S3-587092994
S1-443154384	S2-781289854,S3-12964700
S1-450636499	S3-373544816
S1-455565134	S2-479672062,S3-551575520,S3-780315611,S3-792519134,S3-854887663
S1-456427404	S3-442326482,S3-718976159,S3-922003653,S3-928215963
S1-460943174	
S1-46506909	S3-900110842
S1-466668920	S2-630399297,S3-467864077,S3-594971383,S3-643607727
S1-468461684	S2-165987917,S2-429045520,S3-165362667,S3-322247857,S3-331791236
S1-48068006	S3-254755240,S3-590418668
S1-482245935	
S1-482632930	S2-447041363,S2-466036489,S3-335022110,S3-426126889,S3-521304055
S1-491138472	S2-197200716,S2-788106715,S3-67035158,S3-928683234
S1-498567090	S2-221123001,S3-612982424
S1-504862013	S2-505186857,S2-643765455,S3-257517051
S1-505753870	S2-711776087
S1-516734255	S3-159238066,S3-797992142
S1-517683305	S2-258719094,S3-475029927,S3-538952673,S3-919275552
S1-52005849	
S1-521782533	S2-285761233,S3-734272775
S1-535840870	S2-532448975,S3-70344709
S1-541260963	
S1-557732888	S3-551924161,S3-982486206
S1-558219253	S2-894761114,S3-166949745,S3-72999449
S1-581606301	S3-345947515,S3-511523251,S3-573066542
S1-582733437	S2-318811948,S2-415686278,S3-108916772,S3-188923749,S3-504298489,S3-68999863
S1-588225957	S2-747575632,S3-171910255,S3-381837220,S3-453259107,S3-459613034
S1-589298046	S2-132408883,S2-477009838,S2-986420260,S3-360695819,S3-9144763
S1-590773946	S2-861367011,S3-724938879,S3-874472735
S1-595374997	S2-293208831,S2-876595795,S3-129082904,S3-253835378,S3-254800941
S1-595528482	S2-897700073,S3-356441967,S3-714712507,S3-789669465
S1-5974875	S3-34152919,S3-420381198,S3-714823926
S1-618704174	S3-899928336
S1-621207870	S2-226553410,S2-291615624,S2-633065101,S2-838673872,S3-143802519,S3-574449603
S1-626949347	S2-328243888,S2-967700098
S1-627975754	S2-450766897,S3-181595855,S3-571731962,S3-713556426,S3-743333234
S1-630494536	S3-117524287,S3-78735580
S1-632088756	S3-44171274,S3-581108700,S3-668907666
S1-64285241	S2-58433036,S2-90782816,S3-377868334,S3-436694060
S1-649238538	S2-109380656,S2-241271291,S2-389881931,S3-168733158,S3-804472385
S1-652185060	S2-548788584,S3-974721406
S1-663067533	S2-112495836,S2-143937181
S1-667264941	S2-754564101,S3-11054457,S3-87887761
S1-669312620	S2-344470616,S2-519496063,S2-538737318,S3-346140386,S3-471956305,S3-706740554
S1-670137434	
S1-67490113	S2-289261959,S2-906091656
S1-677935743	S2-496283299,S2-578448963,S2-713880206,S2-895505638,S3-436821178,S3-78286800
S1-68161416	
S1-682844169	S2-614739100,S2-971786365,S3-311772041,S3-863172260
S1-700383051	S2-460986271,S2-996620656,S3-662987550
S1-702568540	S3-45493171
S1-707916403	S2-578195413,S2-663381482,S2-781180829,S3-740918157
S1-709960468	S2-351050869,S2-519500095,S2-783218448,S3-347400419,S3-89755169
S1-710558824	S2-361173142,S2-82895538
S1-715888147	S2-615018618,S3-304799102
S1-716043904	S3-963643040
S1-716080061	S2-308187284,S2-52938642
S1-733382831	
S1-736969873	S2-510042048,S2-695759722,S2-920398532,S3-618524114,S3-910481787
S1-739429454	S2-507404002,S2-650330400,S3-355696140,S3-510393955,S3-593845391,S3-651226938,S3-796673341,S3-940465385
S1-743485548	S2-452376154,S3-193154350
S1-743842828	S2-162840285,S3-307443730,S3-317125176
S1-753419143	S2-822352586,S2-941095079,S3-871746773
S1-756532295	S2-220702891,S2-291052369,S2-643237415,S2-660432026,S3-838888736,S3-870310984
S1-771021108	S2-403135359,S2-885695811,S2-906733202,S3-184302399
S1-775889398	S2-14480944,S2-620027920,S3-372010271,S3-597572013,S3-950204307
S1-776954181	S2-611935473,S2-757621935
S1-779954871	S2-317665841,S2-812505364
S1-781103531	S3-124985388,S3-371387949
S1-784973933	S2-154348047,S2-508973032,S3-744867054,S3-901586764,S3-999005331
S1-790108889	S2-734183474,S3-807007721
S1-792872528	S2-537622018,S3-386494024
S1-79664859	
S1-797453242	S2-542190910,S2-814147029,S3-276412206,S3-40377827,S3-865263494
S1-805319803	S2-533735008,S2-780112789,S3-667879692
S1-810734839	S2-119011500,S3-244783304,S3-867569716
S1-813170327	S2-574606516
S1-822087158	S2-420347037,S2-609281890,S3-776441597
S1-831407036	S2-762858172,S3-465050822,S3-779205248,S3-804786640
S1-831456529	S2-383835776,S3-212295443,S3-329776460,S3-894138821,S3-93939404,S3-949115114
S1-834864420	S2-503381842,S2-873433740,S3-412507701,S3-692422930,S3-857179791,S3-89638034
S1-83679816	S2-730273661,S2-912532342,S3-405978591,S3-463288800,S3-86915556
S1-84668021	S2-706975881
S1-854054479	
S1-857232066	
S1-865704860	S2-425840854,S2-938788648,S3-313047310,S3-355650906,S3-792938654,S3-868649926
S1-867998778	S2-126598464,S2-648058432,S3-218494948,S3-807085228
S1-869319064	S3-790191261
S1-871380077	S2-639481062,S2-839466792,S3-112746484,S3-214287859,S3-426826515,S3-430060456
S1-875966477	S2-802102314,S3-835120961
S1-876916368	S2-994168459
S1-880561678	S2-130875855,S3-143280710,S3-58751681
S1-88307124	S2-357582639,S2-933345792,S3-979326327
S1-895602816	S2-102285263,S2-495815235,S2-795167029,S3-118656129
S1-902212841	S2-587547195,S2-732845460,S3-105714046,S3-570396210,S3-791462026
S1-905068683	S2-7826398,S3-337709335
S1-908044271	
S1-910304460	S2-843028669
S1-912991887	S2-29312169,S2-604090922,S3-993991292
S1-914199557	S2-185023182,S2-783046182,S2-836441382,S2-907548123
S1-91560764	S2-554568494,S3-257099703,S3-262482921,S3-856092543
S1-918127060	S2-738463284,S2-801608659
S1-918368145	S2-648346180,S2-825657399,S3-984340352
S1-925859038	
S1-927470261	S2-322053301,S2-861361793,S3-741911317
S1-934706080	S2-539797174,S2-728326356,S3-477999931
S1-940151781	
S1-941108817	S2-148325253,S2-455871992,S2-524514857,S3-130183293,S3-962950016
S1-941261133	S2-83203538,S3-192129105,S3-738953043,S3-827821346
S1-948342376	
S1-951433056	S2-398388666,S2-553635389,S3-99746792
S1-951832034	S2-691046787,S3-287163256,S3-51230522,S3-845426456
S1-955841937	S3-303712116,S3-709155747
S1-963274337	S2-446930748,S3-940110775
S1-96425143	S3-984609390
S1-973078151	S2-517469621,S2-613224956,S2-979310766,S3-439312690,S3-544763532,S3-559728240
S1-975412735	S2-160071093,S2-688089654,S2-784038194
S1-976485117	S3-158047009,S3-300802275
S1-979621542	S2-658300587,S2-829775943,S3-315989076,S3-536475049,S3-999133820
S1-984429646	S3-458617417,S3-887261962,S3-975024769
S1-988708229	S2-707158229,S2-894790939
S1-990135066	
S1-994289509	
S1-994417851	S2-645708553,S3-552934419
S1-996507806	S2-116324647,S2-847992560,S3-241703178,S3-717246589
S1-996966863	S2-721194052,S2-878795478,S3-597801641,S3-842080279
