source1_entity_id	candidate_entity_ids
S1-100588770	S2-106136467,S2-108546151,S2-108811956,S2-120153934,S2-125595044,S2-137539034,S2-142842018,S2-144995290,S2-164343275,S2-167060085,S2-185083824,S2-233933028,S2-236549012,S2-237837297,S2-265971418,S2-274343817,S2-291823861,S2-293232943,S2-327895941,S2-329140387,S2-340725177,S2-345255582,S2-347846547,S2-365973823,S2-392013271,S2-394622455,S2-395983374,S2-396174318,S2-399772742,S2-409221056,S2-426373711,S2-428276178,S2-441565689,S2-459557619,S2-480237865,S2-49343118,S2-494616094,S2-495656101,S2-500069359,S2-51206562,S2-51673702,S2-519720562,S2-522096189,S2-532257442,S2-536706299,S2-548468786,S2-548981414,S2-551415952,S2-56210115,S2-567069074,S2-571893510,S2-572607735,S2-57366951,S2-586773336,S2-594994465,S2-599089024,S2-608965917,S2-61594974,S2-635255267,S2-639144799,S2-645744809,S2-650730673,S2-651782306,S2-656679002,S2-664010493,S2-671465045,S2-674529763,S2-687754601,S2-68990657,S2-697539163,S2-709333627,S2-718539907,S2-726421852,S2-729896632,S2-740342005,S2-745065590,S2-773416751,S2-781771977,S2-786486053,S2-786995857,S2-793284837,S2-798801937,S2-805539483,S2-807317138,S2-817340983,S2-822267550,S2-829109582,S2-831984033,S2-833794359,S2-841846257,S2-857569902,S2-880065557,S2-908898437,S2-92071655,S2-925782499,S2-933424030,S2-965630007,S2-966556483,S2-991193602,S2-99302214,S3-101147134,S3-105972916,S3-121960487,S3-143442477,S3-154367950,S3-162464140,S3-210025567,S3-232188733,S3-234523810,S3-234754922,S3-23727002,S3-240200266,S3-252955786,S3-253980921,S3-257910318,S3-263901914,S3-268120437,S3-288460706,S3-289950508,S3-302576875,S3-306018102,S3-310061778,S3-314822971,S3-316316080,S3-319948093,S3-320478304,S3-334166728,S3-334744289,S3-340275938,S3-373774298,S3-377777092,S3-392905524,S3-395227697,S3-396633109,S3-4023870,S3-407077546,S3-418021643,S3-443631853,S3-445656673,S3-449945976,S3-461295987,S3-469311834,S3-482081895,S3-493033442,S3-501477499,S3-508264974,S3-530797810,S3-540168290,S3-550964560,S3-564493467,S3-574176536,S3-574565666,S3-582828422,S3-586596239,S3-592864840,S3-595136716,S3-59557005,S3-599021530,S3-603141634,S3-607146418,S3-642230676,S3-649185047,S3-652024917,S3-65892460,S3-664610536,S3-673858672,S3-689762592,S3-701483372,S3-703107310,S3-713097247,S3-722995433,S3-729878539,S3-746438952,S3-756065243,S3-802341520,S3-839107110,S3-84107689,S3-842750053,S3-856680427,S3-857950829,S3-862250116,S3-874997576,S3-884517369,S3-885990912,S3-889924656,S3-895831701,S3-90099091,S3-902037875,S3-907978687,S3-915352608,S3-917227900,S3-919635046,S3-93460072,S3-93779174,S3-953784559,S3-956378423,S3-962931495,S3-986322720,S3-988063648,S3-992910799
S1-100930840	S2-107172854,S2-1106485,S2-119300976,S2-12611883,S2-133558575,S2-153879967,S2-156028526,S2-157996126,S2-160619330,S2-167138488,S2-179875271,S2-183457533,S2-183735443,S2-183878342,S2-19391767,S2-203137598,S2-21316089,S2-230440248,S2-234336830,S2-253407102,S2-275822493,S2-283592167,S2-287911166,S2-291278898,S2-295185002,S2-295533020,S2-298112644,S2-301369969,S2-312735616,S2-315413289,S2-316570641,S2-326207372,S2-338912624,S2-344424846,S2-356305661,S2-369022876,S2-400084781,S2-41730483,S2-420096856,S2-428927208,S2-483751069,S2-502414246,S2-525920610,S2-535482455,S2-541917199,S2-542628415,S2-548237855,S2-550076633,S2-563806236,S2-575610312,S2-598548116,S2-61442469,S2-617200919,S2-624303756,S2-624941046,S2-62730638,S2-62845171,S2-63391020,S2-635976022,S2-649523231,S2-650538154,S2-652600577,S2-665159987,S2-66598056,S2-668794048,S2-687340039,S2-694354078,S2-701372997,S2-704684392,S2-705068138,S2-705200718,S2-718020153,S2-738452807,S2-741615789,S2-743961569,S2-747876308,S2-762138152,S2-763778063,S2-798568845,S2-798700234,S2-802378863,S2-807210834,S2-824848535,S2-856128526,S2-857297457,S2-864471112,S2-902689142,S2-910042573,S2-911738764,S2-928053876,S2-930871907,S2-938747175,S2-940966414,S2-951258641,S2-958375681,S2-963851321,S2-972849900,S2-979211098,S2-988371086,S2-989395622,S3-118007657,S3-123153966,S3-127592624,S3-129321547,S3-149827519,S3-150386407,S3-151581823,S3-157792160,S3-175165592,S3-187311163,S3-191008060,S3-207094521,S3-229699867,S3-229959847,S3-254037809,S3-261762590,S3-269629350,S3-296639088,S3-323359026,S3-325626675,S3-326147625,S3-330712956,S3-331283632,S3-337644071,S3-34588016,S3-367245641,S3-372542806,S3-379811954,S3-382730338,S3-38446693,S3-396026571,S3-39990350,S3-400468386,S3-407232507,S3-41320685,S3-430059999,S3-438590982,S3-451242066,S3-465381120,S3-478876922,S3-485088232,S3-506681597,S3-50676326,S3-521325938,S3-532889000,S3-539833060,S3-546340231,S3-547310046,S3-553073933,S3-558875862,S3-574033779,S3-578821629,S3-589507108,S3-614168793,S3-628032007,S3-629906912,S3-630918516,S3-633112244,S3-633734580,S3-651533442,S3-656455239,S3-663003625,S3-664364840,S3-667513920,S3-679184478,S3-68771548,S3-714637941,S3-739702997,S3-750128509,S3-750339946,S3-750941982,S3-754095264,S3-760892130,S3-763377763,S3-76584338,S3-774912469,S3-796999475,S3-800646916,S3-801779155,S3-810249672,S3-812782828,S3-824470054,S3-826504912,S3-828904464,S3-831058832,S3-833536452,S3-833623362,S3-836162216,S3-836559431,S3-861147971,S3-867769420,S3-870869854,S3-885575666,S3-905617088,S3-960069947,S3-973693306,S3-990189194,S3-991449242,S3-995513935,S3-999395406
S1-101455819	S2-101746058,S2-112635953,S2-180095187,S2-19037953,S2-20652669,S2-206665770,S2-236679592,S2-240598522,S2-243617047,S2-243744682,S2-255651673,S2-256770603,S2-257683849,S2-261143052,S2-261606076,S2-279819312,S2-307786731,S2-323517540,S2-33175956,S2-359752630,S2-362959383,S2-371242241,S2-372841290,S2-373369147,S2-374185195,S2-390418109,S2-39733238,S2-418087027,S2-436309053,S2-436705790,S2-442426034,S2-455199380,S2-482964498,S2-521718295,S2-546616596,S2-565007502,S2-566584781,S2-566647095,S2-569601167,S2-584142404,S2-587841324,S2-619037739,S2-624155356,S2-638570458,S2-670369582,S2-675716585,S2-688195379,S2-69228815,S2-709754090,S2-727660163,S2-728228087,S2-758549525,S2-761138752,S2-767341528,S2-79758646,S2-799670084,S2-804148102,S2-8127787,S2-828186894,S2-843901899,S2-845770395,S2-851706263,S2-857649847,S2-901717289,S2-914792023,S2-920061778,S2-929699101,S2-933046339,S2-934111192,S2-93866789,S2-940118689,S2-94054074,S2-956976473,S2-958461626,S2-972828217,S3-102167672,S3-113360056,S3-118877049,S3-123784944,S3-165010293,S3-179909088,S3-186892250,S3-193742718,S3-19645211,S3-199093041,S3-202191789,S3-207677472,S3-215950483,S3-226371453,S3-231574763,S3-241598208,S3-249222417,S3-262081977,S3-264132023,S3-292786630,S3-303519076,S3-306471739,S3-322001057,S3-336629874,S3-343591391,S3-385246502,S3-386011033,S3-407438486,S3-430482953,S3-44255961,S3-451870067,S3-483454206,S3-489295984,S3-490275519,S3-491862637,S3-492560427,S3-509027923,S3-515359788,S3-541273720,S3-603598504,S3-611150543,S3-613816679,S3-625350242,S3-637357862,S3-652849277,S3-709766224,S3-711417076,S3-723850747,S3-729480724,S3-742260152,S3-756297846,S3-772770797,S3-783520563,S3-803973391,S3-804938490,S3-834976593,S3-84991623,S3-865348064,S3-876493286,S3-877529472,S3-88459545,S3-890227185,S3-898824939,S3-906495988,S3-924787286,S3-9292250,S3-935301197,S3-93617202,S3-956973377,S3-980118526,S3-991863166,S3-995459312
S1-102539463	S2-10132968,S2-10132996,S2-105630073,S2-107376333,S2-129849919,S2-129904902,S2-14241751,S2-145983879,S2-190628778,S2-193702079,S2-196138075,S2-221752221,S2-229384731,S2-237683059,S2-243312304,S2-248828754,S2-252295067,S2-259308672,S2-264351714,S2-280305611,S2-287487986,S2-290298921,S2-293044041,S2-330905487,S2-336672198,S2-347196031,S2-348549850,S2-367299377,S2-367641104,S2-387344283,S2-400378157,S2-406089894,S2-408011443,S2-414685646,S2-434053124,S2-440613871,S2-44836394,S2-461119928,S2-461644707,S2-475871741,S2-483535542,S2-491609790,S2-497885414,S2-504714572,S2-50695556,S2-512562630,S2-51521070,S2-516881905,S2-519537722,S2-532293226,S2-539276591,S2-557937050,S2-571199784,S2-582750030,S2-590588646,S2-593131948,S2-598527430,S2-619677379,S2-62087161,S2-64853322,S2-651875196,S2-653305140,S2-668393207,S2-670066090,S2-679433793,S2-680552791,S2-698903725,S2-699297849,S2-704051978,S2-724346400,S2-726590342,S2-739073782,S2-746516097,S2-760102410,S2-781485948,S2-785887849,S2-786049726,S2-808047553,S2-821982597,S2-826336635,S2-833425988,S2-834753134,S2-83560638,S2-838965540,S2-841093589,S2-841852403,S2-845844393,S2-851883601,S2-911120822,S2-914367031,S2-921059820,S2-934000534,S2-938125537,S2-944209864,S2-949272358,S2-950163354,S2-968477904,S2-979143772,S2-981228469,S2-991243455,S3-109019385,S3-117474408,S3-12044226,S3-132076236,S3-138640734,S3-175626468,S3-17640362,S3-192339295,S3-242289071,S3-243954997,S3-246771675,S3-256859524,S3-263944639,S3-269448551,S3-293194772,S3-302100288,S3-304856888,S3-316753344,S3-318341138,S3-32140141,S3-361603579,S3-366593801,S3-391094710,S3-416678742,S3-419198141,S3-444253634,S3-454455524,S3-458748203,S3-46844175,S3-469237302,S3-474157985,S3-48916876,S3-501235785,S3-503072002,S3-505006209,S3-506326033,S3-52884318,S3-536397596,S3-576430925,S3-58372140,S3-607551962,S3-625879185,S3-641701613,S3-654345305,S3-669535549,S3-67080278,S3-673097121,S3-681277232,S3-717921057,S3-718424256,S3-757875960,S3-761750314,S3-774728772,S3-782381160,S3-823378005,S3-828603359,S3-835462433,S3-836240074,S3-844426049,S3-858571410,S3-866753588,S3-880950483,S3-905113946,S3-936920411,S3-946569229,S3-949687697,S3-966598315,S3-975730884,S3-976276176,S3-981413941,S3-990396167,S3-99508227
S1-103669468	S2-100286653,S2-107002912,S2-108377216,S2-109113743,S2-10933018,S2-111385124,S2-115333013,S2-130361122,S2-138047548,S2-150128037,S2-162774219,S2-163859997,S2-181227632,S2-181878578,S2-224247782,S2-233951411,S2-244803376,S2-254490013,S2-259463890,S2-277798200,S2-28694325,S2-308500975,S2-310644947,S2-325058473,S2-331081185,S2-333862984,S2-342909868,S2-350769463,S2-351295348,S2-373728796,S2-381590982,S2-391161335,S2-399224515,S2-399636211,S2-434827958,S2-447261622,S2-470481223,S2-476885756,S2-48288073,S2-485236727,S2-48740104,S2-493136671,S2-494228590,S2-494703189,S2-515911511,S2-522374614,S2-529530841,S2-535987610,S2-538126824,S2-551319340,S2-555977403,S2-556210403,S2-568834235,S2-572471453,S2-579643784,S2-596557121,S2-615925988,S2-615974309,S2-62581600,S2-641723497,S2-648306218,S2-651695306,S2-664533237,S2-673979801,S2-683350543,S2-683833227,S2-693747538,S2-695136743,S2-720315659,S2-728225323,S2-737940148,S2-743839408,S2-747330471,S2-760921503,S2-770040246,S2-778154157,S2-779767289,S2-785797483,S2-795415932,S2-806033677,S2-808296499,S2-824629959,S2-841191112,S2-850091316,S2-851070596,S2-853962905,S2-889171021,S2-890721525,S2-897642534,S2-905849910,S2-909441641,S2-909690465,S2-941230168,S2-956941516,S2-962753147,S2-964221143,S2-968027247,S2-974444206,S2-978413140,S2-981938607,S3-106189474,S3-112055504,S3-142093234,S3-142501319,S3-144107399,S3-144284684,S3-154488575,S3-15836705,S3-171065171,S3-174146530,S3-17851716,S3-189826173,S3-190220897,S3-201253414,S3-203539694,S3-207238149,S3-214244804,S3-219046792,S3-219736306,S3-229795812,S3-244378685,S3-245526537,S3-254906876,S3-257241832,S3-276231573,S3-27985610,S3-28640627,S3-289469770,S3-310284825,S3-317829424,S3-318356639,S3-336676564,S3-359245931,S3-363234311,S3-365951279,S3-379004936,S3-405526018,S3-409564005,S3-435877814,S3-439266777,S3-442699141,S3-445396318,S3-448543783,S3-449645283,S3-450515631,S3-489769155,S3-490805759,S3-525533798,S3-525976438,S3-528860925,S3-529100883,S3-546568800,S3-560993736,S3-569523468,S3-597847453,S3-598133322,S3-605462171,S3-617825355,S3-6280741,S3-646294831,S3-650054845,S3-668881927,S3-68879774,S3-692819776,S3-713238053,S3-721518479,S3-722923398,S3-7436071,S3-756585407,S3-765487200,S3-771998893,S3-782692333,S3-814141520,S3-815505408,S3-830332809,S3-834419114,S3-836963130,S3-845578301,S3-852602996,S3-853746753,S3-858512937,S3-860375803,S3-862365727,S3-863487833,S3-877604533,S3-894407294,S3-897105087,S3-900616262,S3-917868170,S3-918980388,S3-920203867,S3-928341726,S3-932628833,S3-940600126,S3-955933894,S3-958007683,S3-980450302,S3-980580984,S3-988350102,S3-991264204
S1-104233032	S2-109278170,S2-125324071,S2-143827359,S2-15003233,S2-205148023,S2-206169916,S2-211002658,S2-225089849,S2-227752051,S2-236654556,S2-245830537,S2-251281495,S2-252156202,S2-253111994,S2-276959306,S2-277546463,S2-283535405,S2-284743631,S2-296284386,S2-29746032,S2-29806895,S2-30396934,S2-311660837,S2-340001917,S2-349928012,S2-370277837,S2-382532441,S2-39427803,S2-402166804,S2-410479610,S2-416763690,S2-421700756,S2-422679017,S2-437972948,S2-445207563,S2-466142435,S2-474139333,S2-488842690,S2-488958543,S2-501445792,S2-506039564,S2-508872319,S2-521666295,S2-546312788,S2-54915752,S2-552821599,S2-557389437,S2-565932387,S2-582664767,S2-58499622,S2-59843885,S2-603423343,S2-60443093,S2-613472041,S2-622327276,S2-63952465,S2-643191379,S2-643781204,S2-648353612,S2-667787596,S2-690353446,S2-693858880,S2-694516567,S2-695226315,S2-709405051,S2-724361909,S2-724763224,S2-726418948,S2-735336713,S2-750863845,S2-756457040,S2-775565929,S2-788850471,S2-798472288,S2-802254491,S2-807657168,S2-811143716,S2-811662432,S2-832165462,S2-848013643,S2-854994451,S2-858162667,S2-863287836,S2-867568733,S2-873094087,S2-873357406,S2-886852746,S2-888825193,S2-904734262,S2-905318973,S2-917223082,S2-931908400,S2-939072552,S2-944208268,S2-960358630,S2-986799467,S2-98777463,S2-988826817,S2-988886712,S2-999866049,S3-102332496,S3-112181373,S3-122890338,S3-130910242,S3-133191116,S3-134552054,S3-148109074,S3-159043595,S3-16039316,S3-162864658,S3-165037570,S3-181258065,S3-183714973,S3-189177135,S3-199746382,S3-208091981,S3-21691650,S3-229786139,S3-236127014,S3-236417436,S3-258239781,S3-261724882,S3-273933111,S3-284413521,S3-289728920,S3-316697334,S3-321084958,S3-330637161,S3-33798089,S3-341509213,S3-359792483,S3-371425848,S3-383785441,S3-397474815,S3-408787108,S3-409317123,S3-409599711,S3-412547378,S3-439850495,S3-440716279,S3-450579689,S3-452877760,S3-455903132,S3-465337601,S3-467916179,S3-470088678,S3-507333842,S3-507670906,S3-509211736,S3-529710997,S3-536395112,S3-561196407,S3-563527228,S3-581304221,S3-588051560,S3-603636417,S3-611637955,S3-622173,S3-626761433,S3-628594496,S3-654731006,S3-668011293,S3-673897746,S3-693204127,S3-703733834,S3-720245560,S3-723539692,S3-7346830,S3-766611722,S3-769321446,S3-778662843,S3-813288705,S3-818164379,S3-823843120,S3-834828616,S3-842927833,S3-846224619,S3-852834474,S3-853733085,S3-855721792,S3-859312174,S3-867501677,S3-873968769,S3-878666891,S3-896721761,S3-899348230,S3-908491491,S3-911667670,S3-915428892,S3-916479955,S3-9237504,S3-92975474,S3-934253057,S3-946329819,S3-957138982,S3-961712110,S3-964733648,S3-96546157,S3-997058782,S3-999179150
S1-104419363	S2-101969777,S2-106120097,S2-110519994,S2-146431293,S2-191489213,S2-192492887,S2-198770070,S2-20687319,S2-214926638,S2-219732548,S2-24486672,S2-259116885,S2-26783890,S2-267980657,S2-270869117,S2-277756274,S2-285393617,S2-289371934,S2-294799658,S2-297881582,S2-315077719,S2-317587987,S2-320566716,S2-324057784,S2-328285272,S2-33008582,S2-334304176,S2-339377109,S2-384984654,S2-400276911,S2-400699394,S2-404095855,S2-407089656,S2-409275852,S2-41184853,S2-412493347,S2-439669944,S2-445721532,S2-447615158,S2-461979827,S2-463849515,S2-464196055,S2-471021476,S2-471182131,S2-473891873,S2-483164776,S2-484622193,S2-484652640,S2-524508058,S2-52514304,S2-528556141,S2-556325196,S2-557526594,S2-563154357,S2-567705087,S2-574203085,S2-597718325,S2-611861145,S2-612234723,S2-612436447,S2-614851244,S2-636085475,S2-636281463,S2-636773725,S2-639097663,S2-667275746,S2-673044899,S2-676869836,S2-688710674,S2-693890520,S2-715907525,S2-728327947,S2-73154001,S2-763785442,S2-805976304,S2-830891855,S2-835474739,S2-845241156,S2-855938050,S2-864599004,S2-870575525,S2-87405507,S2-883142927,S2-89119319,S2-896155293,S2-903427227,S2-917467947,S2-923684182,S2-928809991,S2-933183074,S2-933351498,S2-941520276,S2-947856557,S2-949439827,S2-968147983,S2-997455585,S3-118208298,S3-122786295,S3-127839030,S3-167278765,S3-1675009,S3-169394842,S3-179038202,S3-180371316,S3-200736455,S3-207092007,S3-207198814,S3-208129853,S3-218448579,S3-234434388,S3-247271832,S3-252082768,S3-271002421,S3-286821683,S3-294427715,S3-300181725,S3-303004021,S3-327566265,S3-328288582,S3-329513249,S3-34411087,S3-352873855,S3-376051278,S3-397144713,S3-398234803,S3-41231519,S3-425972161,S3-427569892,S3-436379580,S3-451190649,S3-466301296,S3-476326614,S3-477721911,S3-481214089,S3-493963074,S3-497045486,S3-497393983,S3-515210850,S3-516155072,S3-530106217,S3-54061577,S3-566984232,S3-581092815,S3-582301665,S3-599147609,S3-604902605,S3-611166405,S3-614120447,S3-626357913,S3-640773665,S3-641856431,S3-650380168,S3-673833295,S3-680730632,S3-688758073,S3-697948466,S3-711529093,S3-716607284,S3-723952386,S3-724194539,S3-738478322,S3-761171893,S3-76738561,S3-777972790,S3-778037019,S3-77881864,S3-779906083,S3-786491068,S3-791698132,S3-801299768,S3-813675574,S3-823378336,S3-845314934,S3-849652949,S3-866000759,S3-884013142,S3-885722965,S3-898217544,S3-903279030,S3-91444615,S3-937619645,S3-944131342,S3-949678702,S3-954639849,S3-962472405,S3-962572202,S3-973742082,S3-980599393,S3-984497758,S3-9850734,S3-98769343,S3-993506804,S3-996267806
S1-104594645	S2-100580263,S2-118066239,S2-15272717,S2-165271105,S2-167074341,S2-174553655,S2-192917208,S2-243066004,S2-30148702,S2-308614375,S2-322880612,S2-35203972,S2-362285681,S2-381819142,S2-418022881,S2-42604816,S2-428945671,S2-430853602,S2-440484479,S2-455832555,S2-463368490,S2-474564196,S2-489044317,S2-503063226,S2-530380174,S2-53211873,S2-537567951,S2-544412856,S2-558666744,S2-585124363,S2-594483667,S2-594876459,S2-595252068,S2-614672547,S2-654010303,S2-679981570,S2-736648841,S2-742405330,S2-749424821,S2-756554522,S2-771306336,S2-77431602,S2-787766985,S2-793876487,S2-794174239,S2-797556693,S2-811040548,S2-86466039,S2-877144844,S2-891013156,S2-916438367,S2-925635359,S2-926527973,S2-938370325,S2-948117600,S2-953003221,S2-9604381,S2-967079696,S2-968778684,S2-987417707,S3-148907806,S3-157449672,S3-197873442,S3-19922357,S3-254788606,S3-272803065,S3-276738476,S3-294868837,S3-298299141,S3-299594465,S3-30020289,S3-315812708,S3-329841655,S3-337212539,S3-34324266,S3-34614962,S3-361590356,S3-365224278,S3-369438690,S3-373166455,S3-375240718,S3-392730712,S3-4046181,S3-412786940,S3-456435237,S3-495441335,S3-53391502,S3-557301924,S3-576167309,S3-608422183,S3-612384616,S3-651895895,S3-684948488,S3-687693557,S3-693011726,S3-694697574,S3-703137839,S3-709252042,S3-718780111,S3-719966595,S3-733485424,S3-737911561,S3-766842951,S3-780129569,S3-789517156,S3-790851106,S3-797029399,S3-875826988,S3-88232898,S3-901083334,S3-931196880,S3-957478038,S3-998207730
S1-105750285	S2-111608839,S2-146112303,S2-191359322,S2-194218645,S2-269872148,S2-271937688,S2-337118730,S2-343147055,S2-350254338,S2-350924871,S2-409010158,S2-436702143,S2-443066613,S2-450388675,S2-453764578,S2-471866143,S2-489788630,S2-528693417,S2-549611334,S2-565678648,S2-580128563,S2-64558301,S2-665456292,S2-683165744,S2-757588697,S2-770129511,S2-81481690,S2-815789285,S2-826024973,S2-834304222,S2-872438684,S2-880037062,S2-916371701,S2-920666746,S2-945855461,S3-132120245,S3-146059441,S3-161479126,S3-167795363,S3-180325553,S3-203936828,S3-214241054,S3-241028750,S3-241902544,S3-248328796,S3-279694788,S3-297969383,S3-299643226,S3-314270842,S3-328986392,S3-331933283,S3-341890454,S3-342665477,S3-346467789,S3-362651768,S3-402642648,S3-415058,S3-415970411,S3-418947749,S3-496643457,S3-500512447,S3-525093972,S3-606081933,S3-629986280,S3-632633300,S3-641613579,S3-71449563,S3-71534489,S3-721706047,S3-754296073,S3-756633939,S3-768516148,S3-809822195,S3-817213921,S3-824389641,S3-84170574,S3-889821947,S3-906592282,S3-951649738,S3-967766356,S3-985042539,S3-987237019
S1-105774209	S2-100783936,S2-132851095,S2-159065708,S2-175210719,S2-179225079,S2-180472479,S2-18487020,S2-203130615,S2-2329045,S2-239523722,S2-248407882,S2-248577235,S2-255773500,S2-256228519,S2-265935108,S2-267190778,S2-27089084,S2-2720968,S2-276207929,S2-291622906,S2-302398221,S2-304669666,S2-306097704,S2-318461262,S2-32738611,S2-333631023,S2-390884221,S2-415244431,S2-418724110,S2-44810023,S2-463494854,S2-47438916,S2-475485681,S2-475641815,S2-485768718,S2-492835123,S2-503872653,S2-527312845,S2-542301424,S2-56208163,S2-578528647,S2-598753726,S2-601477109,S2-609201176,S2-613124300,S2-64075727,S2-65820783,S2-659295947,S2-671250722,S2-696082453,S2-719604323,S2-73327256,S2-742467182,S2-744654201,S2-78697944,S2-791996235,S2-793435978,S2-793497905,S2-801049915,S2-808924576,S2-820711069,S2-835599664,S2-848469814,S2-862034018,S2-875292312,S2-878464497,S2-893537544,S2-909476608,S2-909768315,S2-925494099,S2-93643378,S2-936477188,S2-939588409,S2-957377519,S2-980200408,S2-982179499,S2-99765367,S3-10164047,S3-102292684,S3-105878504,S3-108720416,S3-110271420,S3-149453126,S3-158502061,S3-182224698,S3-202013473,S3-209056821,S3-211881814,S3-21326234,S3-233224279,S3-253188499,S3-25771563,S3-260880095,S3-269653953,S3-272209548,S3-27375583,S3-279901438,S3-301529935,S3-320891784,S3-321048913,S3-323275991,S3-339906494,S3-344495183,S3-362834068,S3-385270547,S3-393868212,S3-400840152,S3-403723276,S3-416979241,S3-450811024,S3-471530123,S3-477728427,S3-499535985,S3-519424296,S3-521666691,S3-528040481,S3-530199867,S3-56365911,S3-569301178,S3-597627562,S3-652387980,S3-652507698,S3-698909372,S3-700784294,S3-705945094,S3-712713945,S3-737832989,S3-749744891,S3-756727614,S3-773044480,S3-774063123,S3-784145343,S3-789529950,S3-798156239,S3-810483459,S3-87985196,S3-908951982,S3-91470840,S3-923923270,S3-934800097,S3-940190739,S3-975497452,S3-992773359,S3-993449562,S3-999220435
